Time,H_ppm
5.112494988751737e-13,1.0298661173366723
5.113006238250612e-09,1.0298654366631332
5.623795612576798e-08,1.029858629957786
2.614193290977402e-07,1.0298313128561523
7.351042545610002e-07,1.0297682509186004
1.6452884404569397e-06,1.0296470883985163
3.284255961862937e-06,1.029428947141636
6.177225047883636e-06,1.0290440152317848
1.1351345610503788e-05,1.0283559178375514
2.2197850670575828e-05,1.0269149545598135
3.3044355730647864e-05,1.0254760134348138
4.38908607907199e-05,1.0240390918191244
5.473736585079194e-05,1.0226041869415876
7.671235146901017e-05,1.019703243391455
9.86873370872284e-05,1.0168105437812878
0.00012066232270544662,1.0139260650768922
0.00014263730832366487,1.0110497832527563
0.0001646122939418831,1.0081816745115526
0.00020891794080416678,1.0024237916920147
0.0002704722519213834,0.9944789341944388
0.00033202656303860003,0.9865971498679927
0.00039358087415581667,0.9787779358595841
0.0004551351852730333,0.9710207951150072
0.00051668949639025,0.9633252353041301
0.0005782438075074666,0.9556907676942412
0.0006397981186246832,0.9481169069628695
0.0007647038576677858,0.932932348514419
0.0008896095967108884,0.9179913929717891
0.001014515335753991,0.9032901285186004
0.0011394210747970935,0.8888247069012957
0.0013846934355578881,0.8610912980300363
0.0016299657963186828,0.8342247521075457
0.0018752381570794775,0.8081979577724805
0.002120510517840272,0.7829846516541439
0.0023657828786010663,0.7585593907055705
0.0026110552393618608,0.7348975279987534
0.002856327600122655,0.7119751888047542
0.0031015999608834497,0.6897692464033839
0.003401677575502618,0.6635431765161026
0.003701755190121786,0.6383163343012673
0.004001832804740954,0.6140506297435305
0.004301910419360122,0.590709424012895
0.004765151525018147,0.5564106102126515
0.005228392630676171,0.5241079625382614
0.005691633736334196,0.49368525226427135
0.00615487484199222,0.46503302384597217
0.006618115947650245,0.4380482026166555
0.007081357053308269,0.41263372100260726
0.007544598158966294,0.3886981653486018
0.008007839264624318,0.36615544561293595
0.008471080370282342,0.34492448606252907
0.008934321475940366,0.32492893363411635
0.00939756258159839,0.30609688229554566
0.009860803687256413,0.28836061328079116
0.010324044792914436,0.27165635093167495
0.01078728589857246,0.25592403309571027
0.011250527004230484,0.24110709483286294
0.011713768109888507,0.22715226455738768
