Reaction,temperature,pressure,M,k,ln_unc_k,W
2 OH <=> H2O + O,360,0,0,771000000000,27.37071553,0.377964473
2 OH <=> H2O + O,340,0,0,777000000000,27.37849767,0.377964473
2 OH <=> H2O + O,320,0,0,807000000000,27.41652507,0.377964473
2 OH <=> H2O + O,299,0,0,843000000000,27.46032769,0.377964473
2 OH <=> H2O + O,273,0,0,957000000000,27.58758947,0.377964473
2 OH <=> H2O + O,253,0,0,939000000000,27.56854127,0.377964473
2 OH <=> H2O + O,233,0,0,1050000000000,27.67774057,0.377964473
2 OH <=> H2O + O,1050,0.217,0,1950000000000,28.29885049,0.19245009
2 OH <=> H2O + O,1069,0.215,0,1850000000000,28.24620676,0.19245009
2 OH <=> H2O + O,1103,0.205,0,1700000000000,28.16164937,0.19245009
2 OH <=> H2O + O,1105,0.365,0,1850000000000,28.24620676,0.19245009
2 OH <=> H2O + O,1118,0.205,0,2150000000000,28.39648896,0.19245009
2 OH <=> H2O + O,1183,0.202,0,2000000000000,28.3241683,0.19245009
2 OH <=> H2O + O,1198,0.421,0,1950000000000,28.29885049,0.19245009
2 OH <=> H2O + O,1228,0.219,0,2350000000000,28.48543644,0.19245009
2 OH <=> H2O + O,1248,0.182,0,2200000000000,28.41947848,0.19245009
2 OH <=> H2O + O,1256,0.183,0,2400000000000,28.50648985,0.19245009
2 OH <=> H2O + O,1300,0.439,0,2010000000000,28.32915584,0.19245009
2 OH <=> H2O + O,1398,0.305,0,2450000000000,28.52710914,0.19245009
2 OH <=> H2O + O,1416,0.405,0,2550000000000,28.56711448,0.19245009
2 OH <=> H2O + O,1494,0.397,0,2660000000000,28.60934724,0.19245009
2 OH <=> H2O + O,1591,0.363,0,2950000000000,28.71282629,0.19245009
2 OH <=> H2O + O,1592,0.364,0,3100000000000,28.76242323,0.19245009
2 OH <=> H2O + O,1644,0.602,0,3100000000000,28.76242323,0.19245009
2 OH <=> H2O + O,1650,0.34,0,3350000000000,28.83998146,0.19245009
2 OH <=> H2O + O,1684,0.253,0,3650000000000,28.92574828,0.19245009
2 OH <=> H2O + O,1750,0.227,0,3850000000000,28.97909426,0.19245009
2 OH <=> H2O + O,1861,0.287,0,4950000000000,29.23040869,0.19245009
2 OH <=> H2O + O,1902,0.292,0,4750000000000,29.18916573,0.19245009
2 OH <=> H2O + O,2013,0.322,0,4720000000000,29.18282992,0.19245009
2 OH <=> H2O + O,2189,0.217,0,6400000000000,29.48731911,0.19245009
2 OH <=> H2O + O,2265,0.286,0,7320000000000,29.62163144,0.19245009
2 OH <=> H2O + O,2352,0.196,0,7500000000000,29.64592414,0.19245009
2 OH <=> H2O + O,2384,0.182,0,8500000000000,29.77108728,0.19245009
2 OH <=> H2O + O,1176,1.81,0,1700000000000,28.16164937,1E-10
2 OH <=> H2O + O,1233,1.746,0,1900000000000,28.272875,1E-10
2 OH <=> H2O + O,1344,1.974,0,2000000000000,28.3241683,1E-10
2 OH <=> H2O + O,1277,2.02,0,2000000000000,28.3241683,1E-10
2 OH <=> H2O + O,1317,2.011,0,2100000000000,28.37295846,1E-10
2 OH <=> H2O + O,1374,1.945,0,2200000000000,28.41947848,1E-10
2 OH <=> H2O + O,1398,1.909,0,2300000000000,28.46393024,1E-10
2 OH <=> H2O + O,1424,1.868,0,2200000000000,28.41947848,1E-10
2 OH <=> H2O + O,1123,0,0,1570000000000,28.08420528,0.098058068
2 OH <=> H2O + O,1123,0,0,1480000000000,28.02552178,0.098058068
2 OH <=> H2O + O,1123,0,0,1430000000000,27.98630106,0.098058068
2 OH <=> H2O + O,1123,0,0,1580000000000,28.08937325,0.098058068
2 OH <=> H2O + O,1123,0,0,1630000000000,28.11983246,0.098058068
2 OH <=> H2O + O,1123,0,0,1510000000000,28.04187092,0.098058068
2 OH <=> H2O + O,1123,0,0,1520000000000,28.05262371,0.098058068
2 OH <=> H2O + O,1123,0,0,1520000000000,28.05262371,0.098058068
2 OH <=> H2O + O,1123,0,0,1580000000000,28.08937325,0.098058068
2 OH <=> H2O + O,1090,0,0,1360000000000,27.93867659,0.098058068
2 OH <=> H2O + O,1091,0,0,1370000000000,27.94664719,0.098058068
2 OH <=> H2O + O,1090,0,0,1360000000000,27.93867659,0.098058068
2 OH <=> H2O + O,1090,0,0,1290000000000,27.88502387,0.098058068
2 OH <=> H2O + O,1090,0,0,1410000000000,27.97531072,0.098058068
2 OH <=> H2O + O,1090,0,0,1360000000000,27.93867659,0.098058068
2 OH <=> H2O + O,1091,0,0,1390000000000,27.96124599,0.098058068
2 OH <=> H2O + O,1054,0,0,1280000000000,27.88100631,0.098058068
2 OH <=> H2O + O,1054,0,0,1240000000000,27.84991573,0.098058068
2 OH <=> H2O + O,1053,0,0,1390000000000,27.95734147,0.098058068
2 OH <=> H2O + O,1053,0,0,1210000000000,27.8251697,0.098058068
2 OH <=> H2O + O,1053,0,0,1370000000000,27.94777202,0.098058068
2 OH <=> H2O + O,1615,0,0,2280000000000,28.45492845,0.098058068
2 OH <=> H2O + O,1683,0,0,2810000000000,28.66567926,0.098058068
2 OH <=> H2O + O,1843,0,0,3240000000000,28.80711857,0.098058068
2 OH <=> H2O + O,1899,0,0,2350000000000,28.48332339,0.098058068
2 OH <=> H2O + O,1933,0,0,3130000000000,28.77232395,0.098058068
2 OH <=> H2O + O,1935,0,0,3270000000000,28.81607698,0.098058068
2 OH <=> H2O + O,1954,0,0,2120000000000,28.38428849,0.098058068
2 OH <=> H2O + O,1983,0,0,3140000000000,28.77455778,0.098058068
2 OH <=> H2O + O,1997,0,0,2580000000000,28.57700471,0.098058068
2 OH <=> H2O + O,2001,0,0,3520000000000,28.89067514,0.098058068
2 OH <=> H2O + O,2031,0,0,3020000000000,28.73694173,0.098058068
2 OH <=> H2O + O,2033,0,0,2940000000000,28.70861661,0.098058068
2 OH <=> H2O + O,1534,0,0,2520000000000,28.55680852,0.098058068
2 OH <=> H2O + O,1627,0,0,1580000000000,28.08987695,0.098058068
2 OH <=> H2O + O,1690,0,0,1740000000000,28.18605098,0.098058068
2 OH <=> H2O + O,1694,0,0,2410000000000,28.51076697,0.098058068
2 OH <=> H2O + O,1744,0,0,2230000000000,28.43124239,0.098058068
2 OH <=> H2O + O,1775,0,0,1620000000000,28.11544893,0.098058068
2 OH <=> H2O + O,1852,0,0,3130000000000,28.77078612,0.098058068
2 OH <=> H2O + O,1887,0,0,4050000000000,29.02996415,0.098058068
2 OH <=> H2O + O,1897,0,0,2930000000000,28.70565223,0.098058068
2 OH <=> H2O + O,1975,0,0,2240000000000,28.43852153,0.098058068
2 OH <=> H2O + O,1995,0,0,3160000000000,28.78151889,0.098058068
2 OH <=> H2O + O,2010,0,0,2420000000000,28.51631441,0.098058068
2 OH <=> H2O + O,1623,0,0,1560000000000,28.07382693,0.098058068
2 OH <=> H2O + O,1757,0,0,1820000000000,28.23089463,0.098058068
2 OH <=> H2O + O,1890,0,0,3130000000000,28.77071241,0.098058068
2 OH <=> H2O + O,2016,0,0,2160000000000,28.40242353,0.098058068
2 OH <=> H2O + O,1698,0,0,2080000000000,28.36484593,0.098058068
2 OH <=> H2O + O,1704,0,0,2170000000000,28.4050701,0.098058068
2 OH <=> H2O + O,1743,0,0,2420000000000,28.51565408,0.098058068
2 OH <=> H2O + O,1767,0,0,2570000000000,28.57656706,0.098058068
2 OH <=> H2O + O,1773,0,0,2550000000000,28.56823458,0.098058068
2 OH <=> H2O + O,1778,0,0,2310000000000,28.46922009,0.098058068
2 OH <=> H2O + O,1805,0,0,2850000000000,28.67860221,0.098058068
2 OH <=> H2O + O,1828,0,0,3110000000000,28.76639682,0.098058068
2 OH <=> H2O + O,1835,0,0,2920000000000,28.70430914,0.098058068
2 OH <=> H2O + O,1840,0,0,2740000000000,28.63761118,0.098058068
2 OH <=> H2O + O,1854,0,0,3180000000000,28.78914908,0.098058068
2 OH <=> H2O + O,1986,0,0,2170000000000,28.40468119,0.098058068
