Time,H2O2_ppm,Relative_Uncertainty,W
1.91846522781775E-06,436.593097089372,0.05,0.156173761888606
2.11031175059952E-05,443.444908047714,0.05,0.156173761888606
3.93285371702638E-05,454.851543643922,0.05,0.156173761888606
5.94724220623501E-05,386.534636587983,0.05,0.156173761888606
8.15347721822542E-05,437.427951015601,0.05,0.156173761888606
0.000103597122302,425.30026382771,0.05,0.156173761888606
0.000119904076739,410.129957423399,0.05,0.156173761888606
0.0001448441247,352.447650926109,0.05,0.156173761888606
0.000163069544365,372.965756635403,0.05,0.156173761888606
0.000184172661871,354.762845620111,0.05,0.156173761888606
0.000200479616307,370.723395435509,0.05,0.156173761888606
0.000220623501199,344.167393064547,0.05,0.156173761888606
0.000239808153477,309.258299337913,0.05,0.156173761888606
0.000260911270983,290.296099146531,0.05,0.156173761888606
0.000282014388489,250.833091200707,0.05,0.156173761888606
0.000298321342926,243.2556765573,0.05,0.156173761888606
0.000322302158273,285.798630885276,0.05,0.156173761888606
0.000341486810552,246.333802102099,0.05,0.156173761888606
0.00036067146283,222.054756840731,0.05,0.156173761888606
0.00038273381295,232.705744935554,0.05,0.156173761888606
0.000401918465228,238.798266717805,0.05,0.156173761888606
0.00042206235012,219.835156107747,0.05,0.156173761888606
0.000440287769784,194.036622075522,0.05,0.156173761888606
0.000458513189448,172.79382309984,0.05,0.156173761888606
0.000477697841727,194.831417579991,0.05,0.156173761888606
0.000503597122302,189.54097465162,0.05,0.156173761888606
0.00052278177458,170.576953622885,0.05,0.156173761888606
0.000540047961631,171.35263033515,0.05,0.156173761888606
0.000561151079137,182.002708011297,0.05,0.156173761888606
0.000579376498801,141.777679633353,0.05,0.156173761888606
0.000600479616307,185.83648105748,0.05,0.156173761888606
0.000621582733813,168.39285921828,0.05,0.156173761888606
0.000647482014388,150.19450029637,0.05,0.156173761888606
0.000664748201439,136.543682662917,0.05,0.156173761888606
0.000682014388489,143.393672783905,0.05,0.156173761888606
0.000703117505995,127.468629296886,0.05,0.156173761888606
0.000723261390887,134.321350673904,0.05,0.156173761888606
0.000744364508393,98.6547886085317,0.05,0.156173761888606
0.000763549160671,135.878166610492,0.05,0.156173761888606
0.00077793764988,141.206847123271,0.05,0.156173761888606
0.000803836930456,126.804934081814,0.05,0.156173761888606
