time,Absorbance_215
6.231530937152008e-13,2.446301727735051e-50
3.3450901558423214e-09,9.175621545414002e-27
1.3236125210204529e-08,1.737748029363762e-24
2.3127160264566735e-08,1.298813109473094e-23
3.301819531892894e-08,6.244581033186394e-23
4.869822519472795e-08,4.1001765421154805e-22
7.913834370538855e-08,4.802662425103266e-21
1.0957846221604916e-07,2.1364150534108556e-20
1.4001858072670976e-07,6.639665402559885e-20
1.9064044072211825e-07,2.8513159523178013e-19
2.4126230071752675e-07,8.577889250276552e-19
2.9188416071293524e-07,2.0977360262733597e-18
3.425060207083437e-07,4.462985806293428e-18
4.45905454851984e-07,1.5862295206129133e-17
5.493048889956243e-07,4.2517647814662154e-17
6.527043231392645e-07,9.48768480119575e-17
7.561037572829048e-07,1.868592818225227e-16
8.595031914265451e-07,3.3577966000066927e-16
9.629026255701853e-07,5.622202427893365e-16
1.0663020597138256e-06,8.898771762255588e-16
1.1697014938574659e-06,1.3453817268030535e-15
1.3250929331725708e-06,2.3360145777430136e-15
1.4804843724876757e-06,3.792170540543762e-15
1.6358758118027807e-06,5.834747332649245e-15
1.7912672511178856e-06,8.59511000127943e-15
1.9466586904329903e-06,1.2212796316457114e-14
2.1020501297480953e-06,1.6833747212084194e-14
2.2574415690632e-06,2.260928370797129e-14
2.412833008378305e-06,2.9695330230561094e-14
2.56822444769341e-06,3.825159508968349e-14
2.909996175301413e-06,6.304593598880813e-14
3.2517679029094163e-06,9.750249126801703e-14
3.504284019396961e-06,1.3022458608753488e-13
3.7568001358845056e-06,1.6993696633828717e-13
4.00931625237205e-06,2.1736923185858114e-13
4.2618323688595946e-06,2.7325422356312895e-13
4.514348485347139e-06,3.3832762511295526e-13
4.766864601834684e-06,4.1332279341773986e-13
5.019380718322229e-06,4.989692780846961e-13
5.271896834809773e-06,5.959959336621356e-13
5.735040388222869e-06,8.059530146417897e-13
6.198183941635965e-06,1.0611363694272818e-12
6.661327495049061e-06,1.3660298487423366e-12
7.124471048462157e-06,1.7250991339911213e-12
7.5876146018752535e-06,2.1427978679972e-12
8.050758155288349e-06,2.6235767438994527e-12
8.513901708701445e-06,3.171886527935754e-12
8.97704526211454e-06,3.7921764371889386e-12
9.440188815527637e-06,4.488892561760463e-12
1.0296243571177965e-05,5.992863777190308e-12
1.1152298326828292e-05,7.801169988957594e-12
1.200835308247862e-05,9.941860083474658e-12
1.2864407838128948e-05,1.244297260868024e-11
1.3720462593779276e-05,1.5332535007305953e-11
1.4576517349429604e-05,1.8638581184438634e-11
1.594897415770684e-05,2.4878343878391803e-11
1.8054335506821036e-05,3.693538702977939e-11
2.0159696855935228e-05,5.2369964214866195e-11
2.226505820504942e-05,7.159910289942186e-11
2.4370419554163613e-05,9.503967293763932e-11
2.6475780903277805e-05,1.2310846098342665e-10
2.8581142252391998e-05,1.5622225472398368e-10
3.234726674195645e-05,2.2935397023059998e-10
3.6113391231520906e-05,3.2234804280609156e-10
3.987951572108536e-05,4.3758917163630554e-10
4.364564021064981e-05,5.774614468152017e-10
5.403690517931826e-05,1.1107354653066253e-09
6.442817014798671e-05,1.899719289610777e-09
7.481943511665515e-05,2.9944311536920466e-09
8.52107000853236e-05,4.444861898838236e-09
0.0001024175522625243,7.762666083458098e-09
0.00011962440443972502,1.2419426182487837e-08
0.00013683125661692573,1.8641521498751474e-08
0.00017514416613714234,3.9261695822415724e-08
0.00024480144359674436,1.0760745365033477e-07
0.00031445872105634635,2.2842350846801744e-07
0.0003841159985159484,4.1650869172096875e-07
0.00045377327597555044,6.865408608995923e-07
0.0005234305534351525,1.0530631451249841e-06
0.0005930878308947545,1.53047074665502e-06
0.0006627451083543566,2.1329968509958464e-06
0.0007324023858139586,2.8746986220126793e-06
0.0008020596632735607,3.7694435169374107e-06
0.0008717169407331627,4.830896020645562e-06
0.0009413742181927648,6.072504832908452e-06
0.0010110314956523667,7.50749052470895e-06
0.0010806887731119688,9.148833679461571e-06
0.0011503460505715708,1.100926353706878e-05
0.0012200033280311729,1.3101247159149626e-05
0.001289660605490775,1.543697913265971e-05
0.001359317882950377,1.802837182732291e-05
0.001428975160409979,2.0887046220326335e-05
0.001498632437869581,2.402432329976971e-05
0.001568289715329183,2.7451216056436612e-05
0.0016379469927887851,3.1178423100569e-05
0.0017076042702483872,3.521631947803591e-05
0.0017772615477079892,3.957495057339035e-05
0.0018469188251675913,4.426402948573765e-05
0.001920577723964592,4.959237593145202e-05
0.0019942366227615927,5.531141301778988e-05
0.0020678955215585933,6.143135084867992e-05
0.002235780179695591,7.692962757751914e-05
0.0024036648378325887,9.466785689596017e-05
0.0025781869066974464,0.00011558413097741103
0.002752708975562304,0.00013911713149394127
0.002927231044427162,0.00016534620146415916
0.0031017531132920195,0.0001943369630192554
0.003276275182156877,0.00022614164735246822
0.003450797251021735,0.00026079953269419624
0.0036253193198865926,0.0002983374688295521
0.0037998413887514503,0.00033877046852941634
0.0039743634576163075,0.0003821023538906981
0.004148885526481165,0.00042832644873891384
0.004323407595346022,0.00047742630646948047
0.004497929664210879,0.0005293764608933681
0.004672451733075737,0.000584143188397002
0.004946844438666038,0.0006758441424262037
0.005477321535732599,0.0008718277776035429
0.005767902625993339,0.0009891258042768723
0.0060584837162540785,0.0011130532559876542
0.006349064806514818,0.001243264561431161
0.006639645896775558,0.0013794016410288937
0.006930226987036298,0.0015210999479732291
0.007220808077297037,0.001667993587036514
0.007511389167557777,0.0018197196310969002
0.007801970257818517,0.0019759217238939715
0.008092551348079256,0.0021362530021835392
0.008383132438339996,0.002300378373575018
0.008673713528600736,0.0024679762217084933
0.008964294618861475,0.0026387396266392906
0.009254875709122215,0.0028123771767819055
0.009545456799382955,0.0029886134322927717
0.009836037889643694,0.003167189093479346
0.010126618979904434,0.003347860927655864
0.010417200070165174,0.003530401504871606
0.010707781160425913,0.003714598785464387
0.010998362250686653,0.0039002555944443887
0.011288943340947393,0.004087189012113264
0.011579524431208132,0.004275229706453716
0.011870105521468872,0.004464221229048048
0.012160686611729612,0.004654019292191477
0.012611552880694734,0.0049497991015044806
0.013337772436165983,0.005428526968450772
0.013857175345547774,0.005771923319228388
0.014376578254929565,0.0061156107381143705
0.014895981164311355,0.006459186782185887
0.015415384073693146,0.006802310546784272
0.015934786983074937,0.007144694147426519
0.016454189892456728,0.0074860952579498515
0.01697359280183852,0.007826310599653039
0.01749299571122031,0.008165170271359188
0.0180123986206021,0.008502532837781547
0.01853180152998389,0.00883828110412169
0.01905120443936568,0.009172318497598562
0.019570607348747472,0.009504565972438938
0.020090010258129263,0.009834959363170923
