time,Absorbance_215
2.3028472866197163e-14,1.4772518134339714e-52
2.3030775713483783e-10,1.806344598590874e-28
1.045599216319929e-09,7.109986490947932e-26
1.8608906755050198e-09,5.616666600368224e-25
2.6761821346901107e-09,2.809163220712266e-24
3.930745227975587e-09,1.8092332830193913e-23
6.079865110865542e-09,1.6145474516929457e-22
1.116107094152677e-08,3.7849956227979105e-21
1.6242276772188e-08,2.0771913743271433e-20
2.132348260284923e-08,7.284240397097668e-20
2.640468843351046e-08,1.9773837751698702e-19
3.242868776855064e-08,5.131494789213907e-19
3.8452687103590816e-08,1.14327066437149e-18
4.447668643863099e-08,2.2878091193703194e-18
5.5078267986991656e-08,6.4747614347153205e-18
6.567984953535232e-08,1.5207969041192892e-17
7.628143108371299e-08,3.1277907965576746e-17
8.688301263207366e-08,5.84041146966368e-17
9.748459418043432e-08,1.0130022537185948e-16
1.1400199073580044e-07,2.137681588421819e-16
1.3051938729116655e-07,4.0596682382785727e-16
1.4703678384653267e-07,7.114899357171662e-16
1.635541804018988e-07,1.1712621797699475e-15
1.9261486992440444e-07,2.5048607353096943e-15
2.216755594469101e-07,4.782797489864644e-15
2.5073624896941574e-07,8.385045453236116e-15
2.797969384919214e-07,1.3753880781285982e-14
3.0885762801442703e-07,2.1390137368884336e-14
3.379183175369327e-07,3.1848883104317607e-14
3.6697900705943833e-07,4.573461525336613e-14
4.1499465751659967e-07,7.793201464357509e-14
4.63010307973761e-07,1.2442450747345164e-13
5.110259584309223e-07,1.886197330379077e-13
5.590416088880836e-07,2.741170940557305e-13
6.070572593452449e-07,3.8466265769920293e-13
6.550729098024061e-07,5.241238296462645e-13
7.030885602595674e-07,6.964665069802637e-13
7.511042107167287e-07,9.057277206448284e-13
7.9911986117389e-07,1.1559920376955722e-12
8.471355116310513e-07,1.4513779820899378e-12
8.951511620882126e-07,1.796030386951145e-12
9.431668125453738e-07,2.1941123947759404e-12
9.911824630025351e-07,2.6497967381434007e-12
1.0683667646361977e-06,3.5135487907408834e-12
1.1455510662698603e-06,4.554291315763242e-12
1.2227353679035229e-06,5.789346401928112e-12
1.2999196695371855e-06,7.236016060027957e-12
1.377103971170848e-06,8.911583107168624e-12
1.4542882728045106e-06,1.083329355796424e-11
1.5314725744381732e-06,1.3018347724607693e-11
1.6086568760718358e-06,1.5483911411203813e-11
1.6858411777054984e-06,1.8247130421895826e-11
1.763025479339161e-06,2.13251334175474e-11
1.8402097809728236e-06,2.4735028072579863e-11
1.9632570473074603e-06,3.08997171430679e-11
2.086304313642097e-06,3.802050367576674e-11
2.2093515799767334e-06,4.6166492146462905e-11
2.33239884631137e-06,5.540674776809949e-11
2.4554461126460064e-06,6.581031360294239e-11
2.578493378980643e-06,7.744621199910273e-11
2.7015406453152795e-06,9.0383444359459e-11
2.824587911649916e-06,1.0469099819295268e-10
2.9476351779845525e-06,1.20437855548506e-10
3.070682444319189e-06,1.3769299489532388e-10
3.287159880108677e-06,1.7192073379764806e-10
3.503637315898165e-06,2.1140583970864085e-10
3.720114751687653e-06,2.5652383324808014e-10
3.9365921874771416e-06,3.0765019991974293e-10
4.15306962326663e-06,3.651603981413615e-10
4.7648572795570085e-06,5.654695538954521e-10
5.376644935847387e-06,8.282374548434042e-10
5.988432592137766e-06,1.1619361037426205e-09
6.600220248428145e-06,1.575036059175662e-09
7.754544398495314e-06,2.6005982880789912e-09
9.840186651727171e-06,5.429764354965532e-09
1.1925828904959029e-05,9.801073317063884e-09
1.4011471158190886e-05,1.6049603657158883e-08
1.7407400319367195e-05,3.110658290310923e-08
2.43507910244292e-05,8.619831253086164e-08
3.12941817294912e-05,1.841491768932075e-07
3.82375724345532e-05,3.3723319297525266e-07
4.5180963139615206e-05,5.57674954289773e-07
5.212435384467721e-05,8.576438887541888e-07
5.906774454973921e-05,1.2492483844283196e-06
6.601113525480122e-05,1.7445297410090495e-06
7.295452595986322e-05,2.35545585200425e-06
7.989791666492522e-05,3.0939152425075105e-06
8.684130736998723e-05,3.971710981950911e-06
