Pressure,Temperature,k1,Density,Cl,CH3OH,O2,N2
0.131578947368421,241,2108050000000,4.00764108832075E+018,0.000374285013788,0.000249523342525,0.037428501378813,0.961947690264874
0.263157894736842,241,2409200000000,8.01528217664151E+018,0.000187142506894,0.000124761671263,0.018714250689406,0.980973845132437
0.460526315789474,241,2734442000000,1.40267438091226E+019,0.000106938575368,7.1292383578691E-05,0.010693857536804,0.98912791150425
0.657894736842105,241,2945247000000,2.00382054416038E+019,7.48570027576255E-05,4.99046685050837E-05,0.007485700275763,0.992389538052975
0.131578947368421,241,3655961000000,4.00764108832075E+018,0.000374285013788,0.000249523342525,0.037428501378813,0.961947690264874
0.263157894736842,269,1451543000000,7.18097771215838E+018,0.00020888520479,0.000139256803194,0.020888520479047,0.978763337512969
0.460526315789474,269,1614164000000,1.25667109962772E+019,0.000119362974166,7.95753161106551E-05,0.011936297416598,0.987864764293125
0.657894736842105,269,1740647000000,1.79524442803959E+019,8.35540819161878E-05,5.57027212774585E-05,0.008355408191619,0.991505335005188
0.131578947368421,269,2035774000000,3.59048885607919E+018,0.000417770409581,0.000278513606387,0.041777040958094,0.957526675025938
0.263157894736842,269,2138165000000,7.18097771215838E+018,0.00020888520479,0.000139256803194,0.020888520479047,0.978763337512969
0.460526315789474,298,1150393000000,1.13437760335522E+019,0.000132231101492,8.81540676616179E-05,0.013223110149243,0.986556504681603
0.657894736842105,298,1264830000000,1.6205394333646E+019,9.25617710446988E-05,6.17078473631325E-05,0.00925617710447,0.990589553277122
0.131578947368421,298,1421428000000,3.2410788667292E+018,0.000462808855223,0.000308539236816,0.046280885522349,0.952947766385611
0.263157894736842,298,1572003000000,6.4821577334584E+018,0.000231404427612,0.000154269618408,0.023140442761175,0.976473883192806
0.460526315789474,298,1788831000000,1.13437760335522E+019,0.000132231101492,8.81540676616179E-05,0.013223110149243,0.986556504681603
0.657894736842105,344,813105000000,1.40383939285654E+019,0.000106849829662,7.12332197748912E-05,0.010684982966234,0.989136933984329
0.131578947368421,344,915496000000,2.80767878571309E+018,0.000534249148312,0.000356166098874,0.053424914831169,0.945684669921645
0.263157894736842,344,975726000000,5.61535757142617E+018,0.000267124574156,0.000178083049437,0.026712457415584,0.972842334960823
0.460526315789474,344,1054025000000,9.8268757499958E+018,0.000152642613803,0.000101761742536,0.015264261380334,0.984481334263327
0.657894736842105,344,1294945000000,1.40383939285654E+019,0.000106849829662,7.12332197748912E-05,0.010684982966234,0.989136933984329
0.657894736842105,417,650484000000,1.1580833360735E+019,0.000129524357469,8.63495716457257E-05,0.012952435746859,0.986831690324027
0.131578947368421,417,668553000000,2.31616667214701E+018,0.000647621787343,0.000431747858229,0.064762178734294,0.934158451620134
0.263157894736842,417,722760000000,4.63233334429401E+018,0.000323810893671,0.000215873929114,0.032381089367147,0.967079225810067
0.460526315789474,417,764921000000,8.10658335251452E+018,0.000185034796384,0.000123356530922,0.01850347963837,0.981188129034324
0.657894736842105,417,782990000000,1.1580833360735E+019,0.000129524357469,8.63495716457257E-05,0.012952435746859,0.986831690324027
0.131578947368421,241,2108050000000,4.00764108832075E+018,0.002058567575835,0.000623808356314,0.06861891919449,0.928698704873362
0.263157894736842,241,2409200000000,8.01528217664151E+018,0.001029283787917,0.000311904178157,0.034309459597245,0.964349352436681
0.460526315789474,241,2734442000000,1.40267438091226E+019,0.000588162164524,0.000178230958947,0.01960540548414,0.979628201392389
0.657894736842105,241,2945247000000,2.00382054416038E+019,0.000411713515167,0.000124761671263,0.013723783838898,0.985739740974672
0.131578947368421,241,3655961000000,4.00764108832075E+018,0.002058567575835,0.000623808356314,0.06861891919449,0.928698704873362
0.263157894736842,269,1451543000000,7.18097771215838E+018,0.001148868626348,0.000348142007984,0.038295620878253,0.960207368487415
0.460526315789474,269,1614164000000,1.25667109962772E+019,0.000656496357913,0.000198938290277,0.02188321193043,0.97726135342138
0.657894736842105,269,1740647000000,1.79524442803959E+019,0.000459547450539,0.000139256803194,0.015318248351301,0.984082947394966
0.131578947368421,269,2035774000000,3.59048885607919E+018,0.002297737252695,0.000696284015968,0.076591241756506,0.920414736974831
0.263157894736842,269,2138165000000,7.18097771215838E+018,0.001148868626348,0.000348142007984,0.038295620878253,0.960207368487415
0.460526315789474,298,1150393000000,1.13437760335522E+019,0.000727271058208,0.000220385169154,0.024242368606945,0.974809975165693
0.657894736842105,298,1264830000000,1.6205394333646E+019,0.000509089740746,0.000154269618408,0.016969658024862,0.982366982615985
0.131578947368421,298,1421428000000,3.2410788667292E+018,0.002545448703729,0.000771348092039,0.084848290124307,0.911834913079924
0.263157894736842,298,1572003000000,6.4821577334584E+018,0.001272724351865,0.00038567404602,0.042424145062154,0.955917456539962
0.460526315789474,298,1788831000000,1.13437760335522E+019,0.000727271058208,0.000220385169154,0.024242368606945,0.974809975165693
0.657894736842105,344,813105000000,1.40383939285654E+019,0.000587674063143,0.000178083049437,0.019589135438095,0.979645107449325
0.131578947368421,344,915496000000,2.80767878571309E+018,0.002938370315714,0.000890415247186,0.097945677190476,0.898225537246624
0.263157894736842,344,975726000000,5.61535757142617E+018,0.001469185157857,0.000445207623593,0.048972838595238,0.949112768623312
0.460526315789474,344,1054025000000,9.8268757499958E+018,0.000839534375918,0.000254404356339,0.027984479197279,0.970921582070464
0.657894736842105,344,1294945000000,1.40383939285654E+019,0.000587674063143,0.000178083049437,0.019589135438095,0.979645107449325
0.657894736842105,417,650484000000,1.1580833360735E+019,0.000712383966077,0.000215873929114,0.023746132202575,0.975325609902234
