Time,OH_ppm,Relative_Uncertainty,W
2.52804849860465E-13,2.41620276975328E-18,0.05,1E-10
2.52830130345452E-09,2.41077270718334E-10,0.05,1E-10
2.78087862895011E-08,1.84743515379451E-08,0.05,1E-10
5.30892712755476E-08,5.74794963320129E-08,0.05,1E-10
7.83697562615942E-08,1.1856197294163E-07,0.05,1E-10
1.23639116946328E-07,2.82968181793653E-07,0.05,1E-10
1.68908477631062E-07,5.16079017409132E-07,0.05,1E-10
2.37636660966028E-07,9.95839760652311E-07,0.05,1E-10
3.06364844300995E-07,1.62019176032566E-06,0.05,1E-10
3.75093027635961E-07,2.37999708135606E-06,0.05,1E-10
4.8238931156753E-07,3.81725668051628E-06,0.05,1E-10
5.89685595499099E-07,5.53553571425187E-06,0.05,1E-10
6.96981879430668E-07,7.50931548044891E-06,0.05,1E-10
8.04278163362237E-07,9.71589098121333E-06,0.05,1E-10
9.11574447293805E-07,1.21348877270209E-05,0.05,1E-10
1.09743388800786E-06,1.67754733591988E-05,0.05,1E-10
1.28329332872191E-06,2.19164847988623E-05,0.05,1E-10
1.46915276943596E-06,2.74877723536498E-05,0.05,1E-10
1.65501221015001E-06,3.34319356351571E-05,0.05,1E-10
2.13003414883188E-06,4.99994856586468E-05,0.05,1E-10
2.40981595392173E-06,6.05188096188287E-05,0.05,1E-10
2.68959775901158E-06,7.14958924314136E-05,0.05,1E-10
2.96937956410144E-06,8.28637167358937E-05,0.05,1E-10
3.52312434195059E-06,0.000106331375497,0.05,1E-10
4.07686911979974E-06,0.00013089128121,0.05,1E-10
4.45137965654872E-06,0.000148057514708,0.05,1E-10
4.82589019329771E-06,0.000165638644757,0.05,1E-10
5.20040073004669E-06,0.000183614961234,0.05,1E-10
5.57491126679568E-06,0.000201975905733,0.05,1E-10
6.26300405229241E-06,0.000236698616138,0.05,1E-10
6.95109683778915E-06,0.000272705028912,0.05,1E-10
7.63918962328589E-06,0.000310018718028,0.05,1E-10
8.32728240878262E-06,0.000348669067209,0.05,1E-10
9.01537519427936E-06,0.000388688728946,0.05,1E-10
9.7034679797761E-06,0.000430115873596,0.05,1E-10
1.03915607652728E-05,0.000472994065984,0.05,1E-10
1.14825436754819E-05,0.000544066452926,0.05,1E-10
1.25735265856909E-05,0.000619098673151,0.05,1E-10
1.36645094959E-05,0.000698295398306,0.05,1E-10
1.4755492406109E-05,0.000781869874575,0.05,1E-10
1.58464753163181E-05,0.000870046298994,0.05,1E-10
