Time,OH_ppm,Relative_Uncertainty,W
2.43025350831968E-13,2.8441588523056E-18,0.05,1E-10
2.43049653367051E-09,2.83657368077461E-10,0.05,1E-10
2.67330316168673E-08,2.16867188331696E-08,0.05,1E-10
5.10355667000642E-08,6.73986310527556E-08,0.05,1E-10
7.5338101783261E-08,1.38862855259179E-07,0.05,1E-10
1.17241929796075E-07,3.22122227233942E-07,0.05,1E-10
1.59145757808888E-07,5.7906030561274E-07,0.05,1E-10
2.01049585821702E-07,9.06688083783252E-07,0.05,1E-10
2.42953413834516E-07,1.30194627734392E-06,0.05,1E-10
3.6445832616623E-07,2.79848251498021E-06,0.05,1E-10
4.85963238497944E-07,4.7755198339644E-06,0.05,1E-10
6.07468150829658E-07,7.17876163377472E-06,0.05,1E-10
7.28973063161372E-07,9.95683405421884E-06,0.05,1E-10
8.50477975493087E-07,1.30657718567861E-05,0.05,1E-10
9.71982887824801E-07,1.64687307718989E-05,0.05,1E-10
1.24203335038124E-06,2.49400557214243E-05,0.05,1E-10
1.51208381293767E-06,3.44449587873024E-05,0.05,1E-10
1.7821342754941E-06,4.47720201042494E-05,0.05,1E-10
2.05218473805054E-06,5.57727337995831E-05,0.05,1E-10
2.32223520060697E-06,6.73421357856312E-05,0.05,1E-10
2.59228566316341E-06,7.9400666637597E-05,0.05,1E-10
2.86233612571984E-06,9.18858154480403E-05,0.05,1E-10
3.13238658827627E-06,0.000104749580025,0.05,1E-10
3.40243705083271E-06,0.00011795658496,0.05,1E-10
3.67248751338914E-06,0.000131481334774,0.05,1E-10
3.94253797594558E-06,0.000145305423378,0.05,1E-10
4.60581751003779E-06,0.000180449971466,0.05,1E-10
5.08622216808188E-06,0.000206920802084,0.05,1E-10
5.56662682612597E-06,0.000234231416556,0.05,1E-10
6.04703148417005E-06,0.000262378643299,0.05,1E-10
6.52743614221414E-06,0.00029136638157,0.05,1E-10
7.00784080025823E-06,0.000321207972098,0.05,1E-10
7.48824545830232E-06,0.000351923381079,0.05,1E-10
7.9686501163464E-06,0.000383534311546,0.05,1E-10
8.44905477439049E-06,0.00041606240471,0.05,1E-10
8.92945943243458E-06,0.000449530463088,0.05,1E-10
9.68318837300549E-06,0.000503994676052,0.05,1E-10
1.04369173135764E-05,0.000560937071727,0.05,1E-10
1.11906462541473E-05,0.000620465504287,0.05,1E-10
