Time,OH_ppm,Relative_Uncertainty,W
9.31810243070924E-15,1.43764300840416E-17,0.05,1E-10
7.34439345536191E-11,8.93134823134794E-10,0.05,1E-10
3.04129192893221E-10,9.57556580615258E-09,0.05,1E-10
5.34814451232822E-10,2.60956054800233E-08,0.05,1E-10
7.65499709572424E-10,5.11093236660076E-08,0.05,1E-10
9.96184967912025E-10,8.48378128208272E-08,0.05,1E-10
1.485065883956E-09,1.85467289196231E-07,0.05,1E-10
2.36269375542614E-09,4.65632598965308E-07,0.05,1E-10
4.05534713623177E-09,1.36762589305733E-06,0.05,1E-10
5.74800051703741E-09,2.74643584183635E-06,0.05,1E-10
7.44065389784305E-09,4.60271092215495E-06,0.05,1E-10
9.13330727864869E-09,6.93696016705886E-06,0.05,1E-10
1.08259606594543E-08,9.7495792737527E-06,0.05,1E-10
1.251861404026E-08,1.30409015672094E-05,0.05,1E-10
1.42112674210656E-08,1.68112226546294E-05,0.05,1E-10
1.70394300390889E-08,2.41804025731533E-05,0.05,1E-10
1.98675926571121E-08,3.28886858709492E-05,0.05,1E-10
2.26957552751354E-08,4.29371689412856E-05,0.05,1E-10
2.55239178931586E-08,5.43269474613831E-05,0.05,1E-10
3.09482976555236E-08,7.99294532441699E-05,0.05,1E-10
3.63726774178885E-08,0.000110476724887,0.05,1E-10
4.17970571802535E-08,0.000145975103679,0.05,1E-10
4.72214369426184E-08,0.000186430328828,0.05,1E-10
5.58080138320006E-08,0.000260615138785,0.05,1E-10
6.43945907213828E-08,0.000347251626577,0.05,1E-10
7.29811676107649E-08,0.000446355524401,0.05,1E-10
8.15677445001471E-08,0.000557940088198,0.05,1E-10
9.01543213895292E-08,0.000682016121574,0.05,1E-10
9.87408982789114E-08,0.000818591815999,0.05,1E-10
1.07327475168294E-07,0.000967672719126,0.05,1E-10
1.15914052057676E-07,0.001129261843126,0.05,1E-10
1.24500628947058E-07,0.001303359814359,0.05,1E-10
1.3308720583644E-07,0.001489965002348,0.05,1E-10
1.46485153357086E-07,0.001806104318909,0.05,1E-10
1.59883100877732E-07,0.002152658609235,0.05,1E-10
1.73281048398378E-07,0.002529592214254,0.05,1E-10
1.86678995919023E-07,0.002936857929387,0.05,1E-10
2.00076943439669E-07,0.003374396818371,0.05,1E-10
2.13474890960315E-07,0.003842138992022,0.05,1E-10
2.26872838480961E-07,0.004340004937779,0.05,1E-10
2.40270786001607E-07,0.004867906672974,0.05,1E-10
2.53668733522253E-07,0.005425748312578,0.05,1E-10
2.67066681042899E-07,0.006013426124037,0.05,1E-10
2.80464628563544E-07,0.006630828413077,0.05,1E-10
3.0333144578233E-07,0.007752888313218,0.05,1E-10
3.26198263001116E-07,0.008960540522243,0.05,1E-10
3.49065080219901E-07,0.010253084830543,0.05,1E-10
3.64042347958716E-07,0.011145326288456,0.05,1E-10
3.74336243379059E-07,0.011779383511116,0.05,1E-10
3.84630138799402E-07,0.012430317955285,0.05,1E-10
3.94924034219745E-07,0.013098055118317,0.05,1E-10
4.05217929640088E-07,0.013782518559632,0.05,1E-10
4.15511825060431E-07,0.014483630361317,0.05,1E-10
4.25805720480773E-07,0.01520131140432,0.05,1E-10
4.36099615901116E-07,0.015935481416905,0.05,1E-10
4.56183346845994E-07,0.01741502982446,0.05,1E-10
4.76267077790871E-07,0.018956416336105,0.05,1E-10
4.96350808735749E-07,0.020559009771509,0.05,1E-10
5.16434539680626E-07,0.022222166429844,0.05,1E-10
5.36518270625503E-07,0.023945232038023,0.05,1E-10
5.56602001570381E-07,0.025727543409493,0.05,1E-10
5.90144703686107E-07,0.028834530500659,0.05,1E-10
6.23687405801833E-07,0.032101744278503,0.05,1E-10
6.5723010791756E-07,0.035525992058704,0.05,1E-10
6.90772810033286E-07,0.039104065518813,0.05,1E-10
7.24315512149012E-07,0.042832755549982,0.05,1E-10
7.57858214264739E-07,0.046708862985002,0.05,1E-10
7.91400916380465E-07,0.050729207828769,0.05,1E-10
8.24943618496191E-07,0.054890638748985,0.05,1E-10
8.77202984528944E-07,0.061647921869904,0.05,1E-10
9.29462350561697E-07,0.068728575990329,0.05,1E-10
9.81721716594449E-07,0.076121373252804,0.05,1E-10
1.0339810826272E-06,0.08381544881131,0.05,1E-10
1.08624044865995E-06,0.091800332827499,0.05,1E-10
1.13849981469271E-06,0.100065976103073,0.05,1E-10
1.19075918072546E-06,0.108602769074049,0.05,1E-10
1.24301854675821E-06,0.117401553441902,0.05,1E-10
1.29527791279097E-06,0.126453627552197,0.05,1E-10
1.34753727882372E-06,0.135750747420563,0.05,1E-10
1.39979664485647E-06,0.145285124522132,0.05,1E-10
1.45205601088922E-06,0.155049420602288,0.05,1E-10
1.50431537692198E-06,0.16503673971754,0.05,1E-10
1.55657474295473E-06,0.175240618053569,0.05,1E-10
1.60883410898748E-06,0.185655012154802,0.05,1E-10
1.66109347502024E-06,0.196274285989987,0.05,1E-10
1.71335284105299E-06,0.207093197084358,0.05,1E-10
1.76561220708574E-06,0.218106881923709,0.05,1E-10
1.81787157311849E-06,0.229310840878508,0.05,1E-10
1.87013093915125E-06,0.240700922884902,0.05,1E-10
1.922390305184E-06,0.252273310055492,0.05,1E-10
1.97464967121675E-06,0.264024502339616,0.05,1E-10
2.0269090372495E-06,0.275951302335939,0.05,1E-10
2.07916840328226E-06,0.288050800355956,0.05,1E-10
2.13142776931501E-06,0.300320359822685,0.05,1E-10
2.18368713534776E-06,0.312757603066227,0.05,1E-10
2.23594650138051E-06,0.325360397559899,0.05,1E-10
2.28820586741327E-06,0.338126842630904,0.05,1E-10
2.34046523344602E-06,0.35105525667289,0.05,1E-10
2.39272459947877E-06,0.36414416487977,0.05,1E-10
2.44498396551153E-06,0.377392287511542,0.05,1E-10
2.52397939576964E-06,0.397718040859442,0.05,1E-10
2.60297482602775E-06,0.418402084387838,0.05,1E-10
2.68197025628586E-06,0.439442198632996,0.05,1E-10
2.76096568654397E-06,0.460836917124737,0.05,1E-10
2.83996111680208E-06,0.482585460302363,0.05,1E-10
2.91895654706019E-06,0.504687674314344,0.05,1E-10
2.9979519773183E-06,0.527143974799113,0.05,1E-10
3.07694740757641E-06,0.549955295998354,0.05,1E-10
3.15594283783453E-06,0.573123044920763,0.05,1E-10
3.23493826809264E-06,0.596649059892895,0.05,1E-10
3.31393369835075E-06,0.620535572998428,0.05,1E-10
3.39292912860886E-06,0.644785176180122,0.05,1E-10
3.47192455886697E-06,0.669400790826089,0.05,1E-10
3.55091998912508E-06,0.694385640559349,0.05,1E-10
3.62991541938319E-06,0.719743226897004,0.05,1E-10
3.7089108496413E-06,0.745477307491428,0.05,1E-10
3.78790627989941E-06,0.771591876730857,0.05,1E-10
3.86690171015752E-06,0.79809114850045,0.05,1E-10
3.94589714041564E-06,0.824979540900748,0.05,1E-10
4.02489257067375E-06,0.852261662724137,0.05,1E-10
4.14515388787879E-06,0.894562317813213,0.05,1E-10
4.26541520508382E-06,0.937804270586656,0.05,1E-10
4.38567652228886E-06,0.98200598146015,0.05,1E-10
4.5059378394939E-06,1.02718668283616,0.05,1E-10
4.62619915669894E-06,1.07336633306125,0.05,1E-10
4.74646047390397E-06,1.12056557739614,0.05,1E-10
4.86672179110901E-06,1.16880571623038,0.05,1E-10
4.98698310831405E-06,1.21810868142937,0.05,1E-10
5.10724442551909E-06,1.26849701955816,0.05,0.070710678118655
5.22750574272412E-06,1.31999387979714,0.05,0.070710678118655
5.34776705992916E-06,1.37262300532117,0.05,0.070710678118655
5.4680283771342E-06,1.42640872796088,0.05,0.070710678118655
5.58828969433924E-06,1.48137596602987,0.05,0.070710678118655
5.70855101154427E-06,1.53755022479029,0.05,0.070710678118655
5.89324782914888E-06,1.62623283201478,0.05,0.070710678118655
6.07794464675349E-06,1.71792136911904,0.05,0.070710678118655
6.2626414643581E-06,1.81271644666816,0.05,0.070710678118655
6.4473382819627E-06,1.91072209463204,0.05,0.070710678118655
6.63203509956731E-06,2.01204584288413,0.05,0.070710678118655
6.81673191717192E-06,2.11679880767874,0.05,0.070710678118655
7.00142873477653E-06,2.22509578508935,0.05,0.070710678118655
7.18612555238113E-06,2.33705535308911,0.05,0.070710678118655
7.37082236998574E-06,2.45279998084983,0.05,0.070710678118655
7.55551918759035E-06,2.57245614271336,0.05,0.070710678118655
7.74021600519496E-06,2.6961544358336,0.05,0.070710678118655
7.92491282279957E-06,2.8240297019273,0.05,0.070710678118655
8.10960964040417E-06,2.95622115347114,0.05,0.070710678118655
8.29430645800878E-06,3.09287250397861,0.05,0.070710678118655
8.47900327561339E-06,3.23413210183957,0.05,0.070710678118655
8.663700093218E-06,3.38015306758079,0.05,0.070710678118655
8.94267866617296E-06,3.61009256680952,0.05,0.070710678118655
9.22165723912791E-06,3.85182362639744,0.05,0.070710678118655
9.50063581208287E-06,4.1059403901726,0.05,0.070710678118655
9.77961438503784E-06,4.37306571062639,0.05,0.070710678118655
1.00585929579928E-05,4.65385240462641,0.05,0.070710678118655
1.03375715309478E-05,4.94898454386817,0.05,0.070710678118655
1.06165501039027E-05,5.25917878272163,0.05,0.070710678118655
1.08955286768577E-05,5.58518572707632,0.05,0.070710678118655
1.11745072498126E-05,5.92779134291818,0.05,0.070710678118655
1.14534858227676E-05,6.28781840079357,0.05,0.070710678118655
1.17324643957226E-05,6.66612795349434,0.05,0.070710678118655
1.20114429686775E-05,7.06362084569662,0.05,0.070710678118655
1.22904215416325E-05,7.48123925375528,0.05,0.070710678118655
1.25694001145874E-05,7.91996825237584,0.05,0.070710678118655
1.28483786875424E-05,8.38083740397104,0.05,0.070710678118655
1.31273572604973E-05,8.86492236625301,0.05,0.070710678118655
1.34063358334523E-05,9.37334651325193,0.05,0.070710678118655
1.36853144064073E-05,9.90728256413436,0.05,0.070710678118655
1.39642929793622E-05,10.4679542131744,0.05,0.070710678118655
1.42432715523172E-05,11.0566377532933,0.05,0.070710678118655
