hong_h2o_time,hong_h2o,,hong_oh_time,hong_oh,,,,,hong_oh_time_2,hong_oh_2,,hong_abs_time,hong_abs
0.005702310203416,1497.13468548391,,0,0,,0,0.018001222341718,,0.0016117185947,0.036609398035504,,0.009644548228166,0.077629379323573
0.037163226177599,1544.19231389611,,0.018001222341718,10.8649416443739,,,0.018829290394535,,0.00165963196631,0.202198010318085,,0.019522251938989,0.080752879886156
0.061929335318832,1585.97442342801,,0.018829290394535,11.0345453651483,,,0.020761449184442,,0.001704500675509,0.357264269311807,,0.027494074074174,0.084254772334199
0.086700199857366,1627.12347069428,,0.020761449184442,11.2017261756259,,,0.027436179549574,,0.001749369384709,0.512330528305531,,0.036316438587342,0.087638658769787
0.11355223005736,1669.44820502531,,0.027436179549574,11.4085546091417,,,0.043947354663321,,0.001794238093908,0.667396787299253,,0.044021867476144,0.091720851418274
0.142471839069382,1714.75737575146,,0.043947354663321,11.233224009484,,,0.047167619313165,,0.001839106803108,0.822463046292977,,0.051469708372957,0.095626867340816
0.171409790328136,1757.6247348816,,0.047167619313165,11.066850835772,,,0.05554030740276,,0.001883975512308,0.9775293052867,,0.043330941519942,0.089720970956014
0.200355893696547,1799.4068444135,,0.05554030740276,10.9147843704791,,,0.060177488498536,,0.001928844221507,1.13259556428042,,0.060255237706421,0.099716908814206
0.229314225229446,1839.56107954806,,0.060177488498536,10.7815935301648,,,0.0671332601422,,0.002053728795446,1.56419665181295,,0.068713770076499,0.102807938891472
0.258264404652687,1880.80056428085,,0.0671332601422,10.631130800735,,,0.078174167513095,,0.002850148383738,1.348826847655,,0.079180836662587,0.105143902666316
0.28930509069637,1921.97222091375,,0.078174167513095,10.4565081943458,,,0.085810795111297,,0.004024212941127,1.69664908137009,,0.092939793204191,0.10851127084282
0.322420488648034,1965.17872054333,,0.085810795111297,10.3044417290529,,,0.095632602293322,,0.004069081650327,1.85171534036381,,0.122204778522318,0.112580760804028
0.355546586243623,2006.96083007524,,0.095632602293322,10.1586632928635,,,0.105003572424369,,0.004113950359526,2.00678159935753,,0.153898625873937,0.114528415281313
0.390749999893334,2050.43110564884,,0.105003572424369,10.0314605022827,,,0.117369388679771,,0.004158819068726,2.16184785835126,,0.198379282333236,0.115118877078153
0.461196455503594,2132.09613791574,,0.117369388679771,9.90869971391266,,,0.130894500209118,,0.004203687777925,2.31691411734498,,0.229624943581303,0.11370410572814
0.498505717591229,2173.45620593722,,0.130894500209118,9.7782663762695,,,0.14635177052837,,0.004248556487125,2.4719803763387,,0.261271517504806,0.111879568776708
0.537898477749475,2215.68145905507,,0.14635177052837,9.65954377172743,,,0.161809040847623,,0.004293425196325,2.62704663533243,,0.295091404694632,0.109994565926974
0.579377430703471,2258.41316198543,,0.161809040847623,9.5686846355983,,,0.184994946326502,,0.004338293905524,2.78211289432615,,0.325990510519237,0.107965610673393
0.620872076468558,2299.05575943919,,0.184994946326502,9.49842023699177,,,0.208180851805381,,0.004383162614724,2.93717915331987,,0.35163088744744,0.105369426941844
0.664445306393713,2341.21770633048,,0.208180851805381,9.42411765455728,,,0.23136675728426,,0.004428031323923,3.09224541231359,,0.381738135388602,0.103018774291657
0.710111386670837,2382.99981586238,,0.23136675728426,9.37565944862174,,,0.254552662763139,,0.004472900033123,3.24731167130732,,0.406504972775364,0.101052561254361
0.755802108552155,2421.501511836,,0.254552662763139,9.33850815740449,,,0.277738568242019,,0.004517768742322,3.40237793030104,,0.430400562567856,0.098906199114995
0.80149412736001,2459.83055446444,,0.277738568242019,9.31266378090554,,,0.300924473720898,,0.004562637451522,3.55744418929476,,0.457307353870347,0.096840781825682
0.847204303139376,2495.74245026046,,0.300924473720898,9.29328049853132,,,0.324110379199777,,0.004607506160722,3.71251044828849,,0.484210271183736,0.094719579093312
0.892929177419489,2529.69760814451,,0.324110379199777,9.28197358381303,,,0.347296284678656,,0.006583411942098,3.86370005080737,,0.511121904972602,0.092723893607821
0.938656892586301,2563.27457298676,,0.347296284678656,9.26743612203237,,,0.370482190157535,,0.006626598074702,4.01295132508882,,0.544232494350968,0.090959291572217
0.985396215202239,2590.59554189328,,0.370482190157535,9.26582084850118,,,0.393668095636414,,0.006671466783902,4.16801758408255,,0.569601029501903,0.089001454960245
1.03014357267361,2626.26837921137,,0.393668095636414,9.25451393378289,,,0.416854001115293,,0.006716335493102,4.32308384307627,,0.631207603910453,0.084560774428872
1.07591081322059,2654.58352781977,,0.416854001115293,9.24643756612697,,,0.440039906594173,,0.006761204202301,4.47815010206999,,0.659163735108033,0.082148581309596
1.1216832414737,2682.20806304747,,0.440039906594173,9.24643756612697,,,0.463225812073052,,0.006806072911501,4.63321636106372,,0.691856840284528,0.079936824081985
1.16747901440448,2706.72483806206,,0.463225812073052,9.23997647200223,,,0.486411717551931,,0.0068509416207,4.78828262005744,,0.724556065825748,0.077813200106426
1.21328905352716,2729.34242627975,,0.486411717551931,9.22705428375275,,,0.50959762303081,,0.0068958103299,4.94334887905116,,0.757256986237201,0.075713982262205
1.25909260801715,2752.8232812233,,0.50959762303081,9.22705428375275,,,0.532783528509689,,0.006940679039099,5.09841513804488,,0.791887328088621,0.073575346578879
1.30488967787446,2777.16740289271,,0.532783528509689,9.21897791609683,,,0.555969433988568,,0.006985547748299,5.25348139703861,,0.830101002247858,0.072027704074565
1.35069323236446,2800.64825783626,,0.555969433988568,9.20767100137854,,,0.579155339467447,,0.007030416457499,5.40854765603233,,0.862947381900971,0.069915289721258
