,,Time,OH_ppm
,,-1.22E-07,25.6899004267425
,,8.53E-07,24.9217638691323
,,2.19244823386115E-06,23.7695590327169
,,3.16686967113277E-06,22.7453769559033
,,3.89768574908648E-06,22.0625889046942
,,5.23751522533496E-06,21.0810810810811
,,5.84652862362972E-06,20.2702702702703
,,7.06455542021924E-06,19.4594594594595
,,8.52618757612667E-06,18.3926031294452
,,1.0353227771011E-05,17.1123755334282
,,1.16930572472594E-05,16.1735419630157
,,1.32764920828258E-05,15.0640113798009
,,1.47381242387333E-05,14.1678520625889
,,1.66869671132765E-05,13.1436699857753
,,1.85140073081608E-05,12.2901849217639
,,2.02192448233861E-05,11.5220483641536
,,2.20462850182704E-05,10.7112375533428
,,2.36297198538368E-05,9.94310099573258
,,2.54567600487211E-05,9.17496443812233
,,2.72838002436054E-05,8.57752489331437
,,2.93544457978076E-05,8.10810810810811
,,3.09378806333739E-05,7.42532005689901
,,3.28867235079172E-05,6.95590327169275
,,3.53227771010962E-05,6.27311522048365
,,3.8489646772229E-05,5.54765291607397
,,4.1169305724726E-05,5.07823613086771
,,4.38489646772229E-05,4.56614509246088
,,4.65286236297199E-05,4.09672830725462
,,4.90864799025579E-05,3.75533428165007
,,5.15225334957369E-05,3.37126600284495
,,5.3958587088916E-05,3.07254623044097
,,5.6516443361754E-05,2.81650071123755
,,5.96833130328867E-05,2.51778093883357
,,6.23629719853837E-05,2.26173541963016
,,6.51644336175396E-05,2.00568990042674
,,6.78440925700366E-05,1.83499288762447
,,7.06455542021924E-05,1.62162162162162
,,7.34470158343484E-05,1.49359886201992
,,7.63702801461632E-05,1.28022759601707
,,7.9537149817296E-05,1.15220483641536
,,8.29476248477466E-05,1.02418207681366
,,8.62362971985384E-05,0.93883357041252
,,8.96467722289891E-05,0.810810810810807
,,9.31790499390987E-05,0.725462304409675
,,9.51278928136419E-05,0.682788051209101
,,9.79293544457978E-05,0.597439544807962
,,9.91473812423873E-05,0.597439544807962
