time,Absorbance_227,Relative_Uncertainty,W
9.45E-06,0.138701,0.1,5.92E-02
9.69E-06,0.139418,0.1,5.92E-02
9.93E-06,0.140132,0.1,5.92E-02
1.02E-05,0.140845,0.1,5.92E-02
1.04E-05,0.141556,0.1,5.92E-02
1.06E-05,0.142264,0.1,5.92E-02
1.09E-05,0.142969,0.1,5.92E-02
1.11E-05,0.143671,0.1,5.92E-02
1.14E-05,0.144369,0.1,5.92E-02
1.16E-05,0.145065,0.1,5.92E-02
1.18E-05,0.145756,0.1,5.92E-02
1.21E-05,0.146444,0.1,5.92E-02
1.23E-05,0.147128,0.1,5.92E-02
1.25E-05,0.147808,0.1,5.92E-02
1.28E-05,0.148483,0.1,5.92E-02
1.30E-05,0.149154,0.1,5.92E-02
1.33E-05,0.149821,0.1,5.92E-02
1.35E-05,0.150483,0.1,5.92E-02
1.37E-05,0.15114,0.1,5.92E-02
1.40E-05,0.151793,0.1,5.92E-02
1.42E-05,0.152441,0.1,5.92E-02
1.44E-05,0.153083,0.1,5.92E-02
1.47E-05,0.153721,0.1,5.92E-02
1.49E-05,0.154354,0.1,5.92E-02
1.52E-05,0.154981,0.1,5.92E-02
1.54E-05,0.155604,0.1,5.92E-02
1.56E-05,0.156221,0.1,5.92E-02
1.59E-05,0.156832,0.1,5.92E-02
1.61E-05,0.157439,0.1,5.92E-02
1.63E-05,0.15804,0.1,5.92E-02
1.66E-05,0.158636,0.1,5.92E-02
1.68E-05,0.159227,0.1,5.92E-02
1.71E-05,0.159812,0.1,5.92E-02
1.73E-05,0.160391,0.1,5.92E-02
1.75E-05,0.160966,0.1,5.92E-02
1.78E-05,0.161534,0.1,5.92E-02
1.80E-05,0.162098,0.1,5.92E-02
1.82E-05,0.162656,0.1,5.92E-02
1.86E-05,0.163487,0.1,5.92E-02
1.90E-05,0.164305,0.1,5.92E-02
1.93E-05,0.165111,0.1,5.92E-02
1.97E-05,0.165905,0.1,5.92E-02
2.00E-05,0.166687,0.1,5.92E-02
2.04E-05,0.167456,0.1,5.92E-02
2.07E-05,0.168213,0.1,5.92E-02
2.11E-05,0.168957,0.1,5.92E-02
2.15E-05,0.16969,0.1,5.92E-02
2.18E-05,0.17041,0.1,5.92E-02
2.22E-05,0.171119,0.1,5.92E-02
2.25E-05,0.171815,0.1,5.92E-02
2.29E-05,0.1725,0.1,5.92E-02
2.32E-05,0.173173,0.1,5.92E-02
2.36E-05,0.173834,0.1,5.92E-02
2.40E-05,0.174483,0.1,5.92E-02
2.43E-05,0.175121,0.1,5.92E-02
2.47E-05,0.175747,0.1,5.92E-02
2.50E-05,0.176363,0.1,5.92E-02
2.54E-05,0.176966,0.1,5.92E-02
2.58E-05,0.177559,0.1,5.92E-02
2.61E-05,0.178141,0.1,5.92E-02
2.65E-05,0.178711,0.1,5.92E-02
2.68E-05,0.179271,0.1,5.92E-02
2.72E-05,0.17982,0.1,5.92E-02
2.75E-05,0.180359,0.1,5.92E-02
2.81E-05,0.181148,0.1,5.92E-02
2.86E-05,0.181915,0.1,5.92E-02
2.92E-05,0.182658,0.1,5.92E-02
2.97E-05,0.183378,0.1,5.92E-02
3.02E-05,0.184076,0.1,5.92E-02
3.08E-05,0.184752,0.1,5.92E-02
3.13E-05,0.185407,0.1,5.92E-02
3.19E-05,0.18604,0.1,5.92E-02
3.24E-05,0.186652,0.1,5.92E-02
3.29E-05,0.187243,0.1,5.92E-02
3.35E-05,0.187815,0.1,5.92E-02
3.40E-05,0.188366,0.1,5.92E-02
3.45E-05,0.188898,0.1,5.92E-02
3.51E-05,0.189412,0.1,5.92E-02
3.56E-05,0.189906,0.1,5.92E-02
3.62E-05,0.190382,0.1,5.92E-02
3.67E-05,0.19084,0.1,5.92E-02
3.72E-05,0.19128,0.1,5.92E-02
3.78E-05,0.191703,0.1,5.92E-02
3.86E-05,0.192312,0.1,5.92E-02
3.94E-05,0.192884,0.1,5.92E-02
4.02E-05,0.193419,0.1,5.92E-02
4.10E-05,0.193918,0.1,5.92E-02
4.19E-05,0.194382,0.1,5.92E-02
4.27E-05,0.194813,0.1,5.92E-02
4.35E-05,0.195211,0.1,5.92E-02
4.43E-05,0.195578,0.1,5.92E-02
4.51E-05,0.195915,0.1,5.92E-02
4.59E-05,0.196222,0.1,5.92E-02
4.68E-05,0.1965,0.1,5.92E-02
4.76E-05,0.196751,0.1,5.92E-02
4.84E-05,0.196975,0.1,5.92E-02
4.92E-05,0.197174,0.1,5.92E-02
5.04E-05,0.197426,0.1,5.92E-02
5.17E-05,0.197625,0.1,5.92E-02
5.29E-05,0.197774,0.1,5.92E-02
5.41E-05,0.197875,0.1,5.92E-02
5.54E-05,0.19793,0.1,5.92E-02
5.66E-05,0.197944,0.1,5.92E-02
5.78E-05,0.197916,0.1,5.92E-02
5.90E-05,0.197851,0.1,5.92E-02
6.03E-05,0.197749,0.1,5.92E-02
6.15E-05,0.197613,0.1,5.92E-02
6.27E-05,0.197445,0.1,5.92E-02
6.46E-05,0.197133,0.1,5.92E-02
6.64E-05,0.196757,0.1,5.92E-02
6.83E-05,0.196323,0.1,5.92E-02
7.02E-05,0.195835,0.1,5.92E-02
7.20E-05,0.195298,0.1,5.92E-02
7.39E-05,0.194717,0.1,5.92E-02
7.57E-05,0.194096,0.1,5.92E-02
7.76E-05,0.193438,0.1,5.92E-02
7.95E-05,0.192746,0.1,5.92E-02
8.13E-05,0.192025,0.1,5.92E-02
8.32E-05,0.191277,0.1,5.92E-02
8.50E-05,0.190504,0.1,5.92E-02
8.69E-05,0.189709,0.1,5.92E-02
8.88E-05,0.188894,0.1,5.92E-02
9.06E-05,0.188062,0.1,5.92E-02
