Time,OH_ppm,Relative_Uncertainty,W
0.000136,48.3,0.05,0.0316227766
0.000137,48,0.05,0.0316227766
0.000138,48.1,0.05,0.0316227766
0.000139,47.8,0.05,0.0316227766
0.00014,47.6,0.05,0.0316227766
0.000141,47.5,0.05,0.0316227766
0.000142,47.3,0.05,0.0316227766
0.000143,47.7,0.05,0.0316227766
0.000144,47.6,0.05,0.0316227766
0.000145,47.6,0.05,0.0316227766
0.000146,47.6,0.05,0.0316227766
0.000147,47.2,0.05,0.0316227766
0.000148,47.3,0.05,0.0316227766
0.000149,47.2,0.05,0.0316227766
0.00015,47.1,0.05,0.0316227766
0.000151,47.3,0.05,0.0316227766
0.000152,47.2,0.05,0.0316227766
0.000153,47.1,0.05,0.0316227766
0.000154,46.8,0.05,0.0316227766
0.000155,47,0.05,0.0316227766
0.000156,46.9,0.05,0.0316227766
0.000157,46.8,0.05,0.0316227766
0.000158,46.6,0.05,0.0316227766
0.000159,46.6,0.05,0.0316227766
0.00016,46.7,0.05,0.0316227766
0.000161,46.8,0.05,0.0316227766
0.000162,46.6,0.05,0.0316227766
0.000163,46.7,0.05,0.0316227766
0.000164,46.5,0.05,0.0316227766
0.000165,46.4,0.05,0.0316227766
0.000166,46.1,0.05,0.0316227766
0.000167,45.9,0.05,0.0316227766
0.000168,46.2,0.05,0.0316227766
0.000169,46,0.05,0.0316227766
0.00017,45.9,0.05,0.0316227766
0.000171,45.5,0.05,0.0316227766
0.000172,45.4,0.05,0.0316227766
0.000173,45.5,0.05,0.0316227766
0.000174,45.6,0.05,0.0316227766
0.000175,46,0.05,0.0316227766
0.000176,45.9,0.05,0.0316227766
0.000177,46.1,0.05,0.0316227766
0.000178,45.8,0.05,0.0316227766
0.000179,45.7,0.05,0.0316227766
0.00018,45.6,0.05,0.0316227766
0.000181,45.8,0.05,0.0316227766
0.000182,45.8,0.05,0.0316227766
0.000183,45.8,0.05,0.0316227766
0.000184,45.8,0.05,0.0316227766
0.000185,45.7,0.05,0.0316227766
0.000186,45.6,0.05,0.0316227766
0.000187,45.5,0.05,0.0316227766
0.000188,45.4,0.05,0.0316227766
0.000189,45.3,0.05,0.0316227766
0.00019,45.2,0.05,0.0316227766
0.000191,45.3,0.05,0.0316227766
0.000192,45.1,0.05,0.0316227766
0.000193,45,0.05,0.0316227766
0.000194,44.9,0.05,0.0316227766
0.000195,44.9,0.05,0.0316227766
0.000196,44.8,0.05,0.0316227766
0.000197,44.7,0.05,0.0316227766
0.000198,44.6,0.05,0.0316227766
0.000199,44.6,0.05,0.0316227766
0.0002,44.6,0.05,0.0316227766
0.000201,44.5,0.05,0.0316227766
0.000202,44.7,0.05,0.0316227766
0.000203,44.4,0.05,0.0316227766
0.000204,44.5,0.05,0.0316227766
0.000205,44.5,0.05,0.0316227766
0.000206,44.4,0.05,0.0316227766
0.000207,44.2,0.05,0.0316227766
0.000208,44.5,0.05,0.0316227766
0.000209,44.3,0.05,0.0316227766
0.00021,44.3,0.05,0.0316227766
0.000211,44.4,0.05,0.0316227766
0.000212,44.3,0.05,0.0316227766
0.000213,44.4,0.05,0.0316227766
0.000214,44.4,0.05,0.0316227766
0.000215,44.4,0.05,0.0316227766
0.000216,44.4,0.05,0.0316227766
0.000217,44.3,0.05,0.0316227766
0.000218,44.5,0.05,0.0316227766
0.000219,44.4,0.05,0.0316227766
0.00022,44.3,0.05,0.0316227766
0.000221,44.3,0.05,0.0316227766
0.000222,44.3,0.05,0.0316227766
0.000223,44.6,0.05,0.0316227766
0.000224,44.3,0.05,0.0316227766
0.000225,44.4,0.05,0.0316227766
0.000226,44.4,0.05,0.0316227766
0.000227,44.2,0.05,0.0316227766
0.000228,44.4,0.05,0.0316227766
0.000229,44.4,0.05,0.0316227766
0.00023,44.6,0.05,0.0316227766
0.000231,44.4,0.05,0.0316227766
0.000232,44.3,0.05,0.0316227766
0.000233,44.3,0.05,0.0316227766
0.000234,44.3,0.05,0.0316227766
0.000235,44,0.05,0.0316227766
0.000236,44.1,0.05,0.0316227766
0.000237,44,0.05,0.0316227766
0.000238,43.9,0.05,0.0316227766
0.000239,44,0.05,0.0316227766
0.00024,43.9,0.05,0.0316227766
0.000241,43.8,0.05,0.0316227766
0.000242,43.9,0.05,0.0316227766
0.000243,43.8,0.05,0.0316227766
0.000244,43.9,0.05,0.0316227766
0.000245,43.7,0.05,0.0316227766
0.000246,43.8,0.05,0.0316227766
0.000247,43.6,0.05,0.0316227766
0.000248,44,0.05,0.0316227766
0.000249,43.7,0.05,0.0316227766
0.00025,43.7,0.05,0.0316227766
0.000251,43.6,0.05,0.0316227766
0.000252,43.8,0.05,0.0316227766
0.000253,43.6,0.05,0.0316227766
0.000254,43.8,0.05,0.0316227766
0.000255,43.8,0.05,0.0316227766
0.000256,43.7,0.05,0.0316227766
0.000257,43.7,0.05,0.0316227766
0.000258,43.5,0.05,0.0316227766
0.000259,43.6,0.05,0.0316227766
0.00026,43.5,0.05,0.0316227766
0.000261,43.7,0.05,0.0316227766
0.000262,43.8,0.05,0.0316227766
0.000263,43.5,0.05,0.0316227766
0.000264,43.6,0.05,0.0316227766
0.000265,43.4,0.05,0.0316227766
0.000266,43.3,0.05,0.0316227766
0.000267,43.2,0.05,0.0316227766
0.000268,43.2,0.05,0.0316227766
0.000269,43.2,0.05,0.0316227766
0.00027,43.1,0.05,0.0316227766
0.000271,43,0.05,0.0316227766
0.000272,43.3,0.05,0.0316227766
0.000273,43.2,0.05,0.0316227766
0.000274,43.5,0.05,0.0316227766
0.000275,43.4,0.05,0.0316227766
0.000276,43.4,0.05,0.0316227766
0.000277,43.5,0.05,0.0316227766
0.000278,43.5,0.05,0.0316227766
0.000279,43.5,0.05,0.0316227766
0.00028,43.3,0.05,0.0316227766
0.000281,43.2,0.05,0.0316227766
0.000282,43.3,0.05,0.0316227766
0.000283,43.1,0.05,0.0316227766
0.000284,42.9,0.05,0.0316227766
0.000285,42.9,0.05,0.0316227766
0.000286,42.8,0.05,0.0316227766
0.000287,42.7,0.05,0.0316227766
0.000288,42.4,0.05,0.0316227766
0.000289,42.6,0.05,0.0316227766
0.00029,42.6,0.05,0.0316227766
0.000291,42.3,0.05,0.0316227766
0.000292,42.5,0.05,0.0316227766
0.000293,42.5,0.05,0.0316227766
0.000294,42.2,0.05,0.0316227766
0.000295,42,0.05,0.0316227766
0.000296,41.9,0.05,0.0316227766
0.000297,42,0.05,0.0316227766
0.000298,41.7,0.05,0.0316227766
0.000299,41.6,0.05,0.0316227766
0.0003,41.8,0.05,0.0316227766
0.000301,41.6,0.05,0.0316227766
0.000302,41.4,0.05,0.0316227766
0.000303,41.4,0.05,0.0316227766
0.000304,41.3,0.05,0.0316227766
0.000305,41.2,0.05,0.0316227766
0.000306,41.4,0.05,0.0316227766
0.000307,41.4,0.05,0.0316227766
0.000308,41.2,0.05,0.0316227766
0.000309,41.3,0.05,0.0316227766
0.00031,41.1,0.05,0.0316227766
0.000311,40.9,0.05,0.0316227766
0.000312,40.8,0.05,0.0316227766
0.000313,40.8,0.05,0.0316227766
0.000314,40.9,0.05,0.0316227766
0.000315,40.9,0.05,0.0316227766
0.000316,40.8,0.05,0.0316227766
0.000317,40.6,0.05,0.0316227766
0.000318,40.7,0.05,0.0316227766
0.000319,40.5,0.05,0.0316227766
0.00032,40.4,0.05,0.0316227766
0.000321,40.5,0.05,0.0316227766
