Time,H2O_ppm
1.99E-15,1113
1.90E-11,1113
7.86E-11,1112.999999
1.38E-10,1112.999999
1.98E-10,1112.999999
2.58E-10,1112.999998
3.83E-10,1112.999997
6.13E-10,1112.999996
1.02E-09,1112.999994
1.75E-09,1112.999993
3.25E-09,1112.999996
4.75E-09,1113.000008
6.25E-09,1113.000028
8.59E-09,1113.000076
1.09E-08,1113.000145
1.33E-08,1113.000234
1.56E-08,1113.000344
1.99E-08,1113.000602
2.43E-08,1113.000931
2.86E-08,1113.001331
3.59E-08,1113.002159
4.84E-08,1113.004049
6.10E-08,1113.006523
7.35E-08,1113.00958
8.60E-08,1113.013216
1.07E-07,1113.020726
1.29E-07,1113.029897
1.50E-07,1113.040718
1.71E-07,1113.05318
1.93E-07,1113.067273
2.14E-07,1113.082986
2.35E-07,1113.100309
2.69E-07,1113.131511
3.04E-07,1113.166808
3.69E-07,1113.245922
4.35E-07,1113.339705
5.01E-07,1113.44788
5.67E-07,1113.570173
6.33E-07,1113.706319
7.39E-07,1113.955306
8.45E-07,1114.238796
9.52E-07,1114.555739
1.06E-06,1114.905115
1.16E-06,1115.285936
1.27E-06,1115.697244
1.38E-06,1116.138109
1.48E-06,1116.607632
1.59E-06,1117.104938
1.70E-06,1117.62918
1.80E-06,1118.179534
1.91E-06,1118.755205
2.02E-06,1119.355419
2.12E-06,1119.979425
2.23E-06,1120.626496
2.34E-06,1121.295925
2.44E-06,1121.987029
2.55E-06,1122.699141
2.65E-06,1123.431619
2.76E-06,1124.183835
2.87E-06,1124.955184
2.97E-06,1125.745076
3.08E-06,1126.55294
3.19E-06,1127.378222
3.29E-06,1128.220384
3.40E-06,1129.078903
3.51E-06,1129.953274
3.61E-06,1130.843004
3.77E-06,1132.206263
3.93E-06,1133.601502
4.09E-06,1135.027233
4.25E-06,1136.482037
4.41E-06,1137.964555
4.57E-06,1139.473489
4.73E-06,1141.007596
4.89E-06,1142.565691
5.05E-06,1144.146636
5.21E-06,1145.749347
5.37E-06,1147.372786
5.53E-06,1149.015959
5.69E-06,1150.677918
5.85E-06,1152.357753
6.01E-06,1154.054598
6.17E-06,1155.767621
6.33E-06,1157.496028
6.49E-06,1159.23906
6.65E-06,1160.995991
6.81E-06,1162.766125
6.97E-06,1164.548799
7.13E-06,1166.343377
7.29E-06,1168.149251
7.45E-06,1169.965841
7.61E-06,1171.79259
7.77E-06,1173.628967
7.93E-06,1175.474463
8.09E-06,1177.328593
8.25E-06,1179.190891
8.41E-06,1181.060914
8.57E-06,1182.938235
8.72E-06,1184.822448
8.88E-06,1186.713165
9.04E-06,1188.610013
9.20E-06,1190.512637
9.36E-06,1192.420697
9.52E-06,1194.333868
9.68E-06,1196.251838
9.92E-06,1199.141315
1.02E-05,1202.040002
1.04E-05,1204.94701
1.06E-05,1207.861505
1.09E-05,1210.782709
1.11E-05,1213.709895
1.14E-05,1216.642384
1.16E-05,1219.579541
1.18E-05,1222.520772
1.21E-05,1225.465524
1.23E-05,1228.413277
1.26E-05,1231.36355
1.28E-05,1234.315889
1.30E-05,1237.269875
1.33E-05,1240.225112
1.35E-05,1243.181234
1.38E-05,1246.137898
1.40E-05,1249.094784
1.42E-05,1252.051592
1.45E-05,1255.008046
1.47E-05,1257.963885
1.50E-05,1260.918868
1.52E-05,1263.872768
1.54E-05,1266.825376
1.57E-05,1269.776496
1.59E-05,1272.725945
1.62E-05,1275.673555
1.64E-05,1278.619167
1.66E-05,1281.562635
1.69E-05,1284.503822
1.71E-05,1287.442602
1.74E-05,1290.378856
1.76E-05,1293.312476
1.78E-05,1296.24336
1.81E-05,1299.171415
1.83E-05,1302.096553
1.87E-05,1306.487019
1.90E-05,1310.870469
1.94E-05,1315.246684
1.98E-05,1319.615469
2.01E-05,1323.976654
2.05E-05,1328.330088
2.08E-05,1332.675639
2.12E-05,1337.013192
2.16E-05,1341.342647
2.19E-05,1345.663919
2.23E-05,1349.976935
2.27E-05,1354.281633
2.30E-05,1358.577961
2.34E-05,1362.865877
2.37E-05,1367.145348
2.41E-05,1371.416346
2.45E-05,1375.678852
2.48E-05,1379.932852
2.52E-05,1384.178338
2.55E-05,1388.415308
2.59E-05,1392.643762
2.63E-05,1396.863706
2.66E-05,1401.075149
2.70E-05,1405.278103
2.73E-05,1409.472584
2.77E-05,1413.658608
2.82E-05,1419.972856
2.88E-05,1426.26789
2.93E-05,1432.543799
2.99E-05,1438.800675
3.04E-05,1445.03862
3.10E-05,1451.257741
3.15E-05,1457.458147
3.21E-05,1463.639953
3.26E-05,1469.803274
3.32E-05,1475.948229
3.37E-05,1482.074937
3.42E-05,1488.183519
3.48E-05,1494.274097
3.53E-05,1500.346792
3.59E-05,1506.401727
3.64E-05,1512.439021
3.70E-05,1518.458798
3.75E-05,1524.461176
3.81E-05,1530.446276
3.89E-05,1539.496108
3.97E-05,1548.506833
4.05E-05,1557.478855
4.14E-05,1566.412571
4.22E-05,1575.308372
4.30E-05,1584.16664
4.39E-05,1592.987753
4.47E-05,1601.772077
4.55E-05,1610.519972
4.63E-05,1619.231793
4.72E-05,1627.907882
4.80E-05,1636.548579
4.88E-05,1645.154213
4.97E-05,1653.725106
5.05E-05,1662.261573
5.17E-05,1675.039592
5.30E-05,1687.741414
5.42E-05,1700.368022
5.55E-05,1712.920367
5.67E-05,1725.399367
5.79E-05,1737.805907
5.92E-05,1750.140846
6.04E-05,1762.40501
6.17E-05,1774.5992
6.29E-05,1786.724189
6.42E-05,1798.780726
6.54E-05,1810.769535
6.74E-05,1829.322904
6.93E-05,1847.715972
7.12E-05,1865.951168
7.32E-05,1884.030805
7.51E-05,1901.957095
7.71E-05,1919.732149
7.90E-05,1937.357989
8.09E-05,1954.836555
8.29E-05,1972.169707
8.48E-05,1989.359236
8.68E-05,2006.406862
8.87E-05,2023.314247
9.07E-05,2040.082993
9.26E-05,2056.714651
9.45E-05,2073.210719
9.65E-05,2089.572652
9.84E-05,2105.801861
0.000100354,2121.899716
0.000102295,2137.867551
0.000104236,2153.706666
0.000106177,2169.418326
0.000108117,2185.003768
0.000110058,2200.464199
0.000111999,2215.800801
0.00011394,2231.014729
0.000115881,2246.107116
0.000117821,2261.079072
0.000119762,2275.931688
0.000121703,2290.666033
0.000123644,2305.283159
0.000125585,2319.784099
0.000127525,2334.16987
0.000129466,2348.441474
0.000131407,2362.599898
0.000133348,2376.646111
0.000135288,2390.581074
0.000137229,2404.405731
0.00013917,2418.121014
0.000141111,2431.727843
0.000143052,2445.227129
0.000144992,2458.619767
0.000146933,2471.906647
0.000148874,2485.088643
0.000150815,2498.166624
0.000152756,2511.141447
0.000154696,2524.013958
0.000156637,2536.784997
0.000158578,2549.455394
0.000160519,2562.025971
0.00016246,2574.49754
0.0001644,2586.870906
0.000167334,2605.386585
0.000170267,2623.682494
0.0001732,2641.761313
0.000176133,2659.625683
0.000179066,2677.278209
0.000182,2694.721461
0.000184933,2711.957973
0.000187866,2728.990248
0.000190799,2745.820753
0.000193732,2762.451924
0.000196665,2778.886167
0.000199599,2795.125855
0.000202532,2811.173332
0.000205465,2827.030912
0.000208398,2842.700879
0.000211331,2858.185491
0.000214265,2873.486976
0.000217198,2888.607534
0.000220131,2903.549339
0.000223064,2918.314537
0.000225997,2932.90525
0.000230454,2954.746854
0.000234911,2976.197645
0.000239368,2997.264725
0.000243826,3017.955065
0.000248283,3038.275509
0.00025274,3058.232777
0.000257197,3077.833462
0.000261654,3097.08404
0.000266111,3115.990868
0.000270568,3134.560186
0.000275025,3152.798122
0.000279482,3170.710689
0.000283939,3188.303795
0.000288396,3205.583237
0.000292853,3222.554707
0.00029731,3239.223794
0.000304149,3264.225384
0.000310988,3288.547311
0.000317827,3312.208403
0.000324666,3335.226965
0.000331504,3357.620793
0.000338343,3379.407187
0.000345182,3400.602967
0.000352021,3421.224483
0.00035886,3441.287631
0.000365699,3460.807864
0.000372538,3479.800205
0.000379377,3498.279257
0.000386215,3516.259218
0.000393054,3533.753887
0.000399893,3550.776682
0.000406732,3567.340644
0.000413571,3583.458451
0.00042041,3599.142428
0.000427249,3614.404555
0.000434088,3629.256477
0.000439065,3639.815439
0.000444043,3650.167335
0.000449021,3660.316338
0.000453999,3670.266536
0.000458977,3680.021933
0.000463955,3689.586453
0.000468933,3698.963937
0.000473911,3708.15815
0.000478889,3717.172781
0.000483866,3726.01144
0.000488844,3734.677666
0.000493822,3743.174926
0.0004988,3751.506616
0.000503778,3759.676061
0.000508756,3767.68652
0.000513734,3775.541184
0.000518712,3783.243181
0.00052369,3790.795573
0.000528667,3798.201361
0.000536404,3809.426728
0.00054414,3820.315834
0.000551876,3830.879087
0.000559612,3841.126567
0.000567348,3851.068035
0.000575085,3860.712947
0.000582821,3870.070458
0.000590557,3879.149437
0.000598293,3887.958472
0.00060603,3896.505882
0.000613766,3904.799724
0.000621502,3912.847799
0.000629238,3920.657667
0.000636974,3928.236646
0.000644711,3935.591826
0.000652447,3942.730074
0.00065778,3947.52855
0.000663114,3952.229201
0.000668448,3956.834104
0.000673781,3961.345288
0.000679115,3965.764739
0.000684448,3970.0944
0.000689782,3974.336171
0.000695115,3978.491912
0.000700449,3982.563442
0.000705783,3986.55254
0.000711116,3990.460947
0.00071645,3994.290365
0.000721783,3998.042461
0.000727117,4001.718865
0.00073245,4005.321171
0.000737784,4008.850939
0.000743118,4012.309696
0.000748451,4015.698934
0.000753785,4019.020115
0.000759118,4022.274667
0.000764452,4025.463989
0.000769786,4028.589449
0.000775119,4031.652386
0.000780453,4034.654108
0.000785786,4037.595898
0.00079112,4040.479009
0.000796453,4043.304666
0.000801787,4046.074072
0.000807121,4048.788399
0.000812454,4051.448797
