time,OH_ppm,Relative_Uncertainty,W
2.08E-05,42.04043841,0.05,5.21E-02
2.12E-05,41.97019435,0.05,5.21E-02
2.16E-05,41.89961096,0.05,5.21E-02
2.19E-05,41.82880929,0.05,5.21E-02
2.23E-05,41.75789795,0.05,5.21E-02
2.27E-05,41.68697437,0.05,5.21E-02
2.30E-05,41.61612582,0.05,5.21E-02
2.34E-05,41.54543037,0.05,5.21E-02
2.37E-05,41.47495779,0.05,5.21E-02
2.41E-05,41.40477032,0.05,5.21E-02
2.45E-05,41.3349234,0.05,5.21E-02
2.48E-05,41.2654663,0.05,5.21E-02
2.52E-05,41.19644273,0.05,5.21E-02
2.55E-05,41.12789136,0.05,5.21E-02
2.59E-05,41.05984628,0.05,5.21E-02
2.63E-05,40.99233746,0.05,5.21E-02
2.66E-05,40.92539114,0.05,5.21E-02
2.70E-05,40.85903019,0.05,5.21E-02
2.73E-05,40.79327442,0.05,5.21E-02
2.77E-05,40.72814086,0.05,5.21E-02
2.82E-05,40.63085705,0.05,5.21E-02
2.88E-05,40.53506963,0.05,5.21E-02
2.93E-05,40.44080925,0.05,5.21E-02
2.99E-05,40.34809787,0.05,5.21E-02
3.04E-05,40.25694999,0.05,5.21E-02
3.10E-05,40.16737371,0.05,5.21E-02
3.15E-05,40.07937174,0.05,5.21E-02
3.21E-05,39.99294214,0.05,5.21E-02
3.26E-05,39.90807905,0.05,5.21E-02
3.32E-05,39.82477327,0.05,5.21E-02
3.37E-05,39.74301276,0.05,5.21E-02
3.42E-05,39.66278311,0.05,5.21E-02
3.48E-05,39.58406792,0.05,5.21E-02
3.53E-05,39.50684912,0.05,5.21E-02
3.59E-05,39.43110727,0.05,5.21E-02
3.64E-05,39.3568218,0.05,5.21E-02
3.70E-05,39.28397121,0.05,5.21E-02
3.75E-05,39.2125333,0.05,5.21E-02
3.81E-05,39.14248526,0.05,5.21E-02
3.89E-05,39.03878808,0.05,5.21E-02
3.97E-05,38.93815564,0.05,5.21E-02
4.05E-05,38.84050462,0.05,5.21E-02
4.14E-05,38.74575146,0.05,5.21E-02
4.22E-05,38.65381278,0.05,5.21E-02
4.30E-05,38.56460584,0.05,5.21E-02
4.39E-05,38.47804885,0.05,5.21E-02
4.47E-05,38.39406121,0.05,5.21E-02
4.55E-05,38.31256374,0.05,5.21E-02
4.63E-05,38.23347873,0.05,5.21E-02
4.72E-05,38.15673015,0.05,5.21E-02
4.80E-05,38.08224366,0.05,5.21E-02
4.88E-05,38.00994673,0.05,5.21E-02
4.97E-05,37.93976859,0.05,5.21E-02
5.05E-05,37.87164036,0.05,5.21E-02
5.17E-05,37.77286331,0.05,5.21E-02
5.30E-05,37.67835376,0.05,5.21E-02
5.42E-05,37.58790059,0.05,5.21E-02
5.55E-05,37.50130188,0.05,5.21E-02
5.67E-05,37.41836471,0.05,5.21E-02
5.79E-05,37.33890491,0.05,5.21E-02
5.92E-05,37.26274682,0.05,5.21E-02
6.04E-05,37.18972301,0.05,5.21E-02
6.17E-05,37.11967398,0.05,5.21E-02
6.29E-05,37.05244788,0.05,5.21E-02
6.42E-05,36.98790019,0.05,5.21E-02
6.54E-05,36.92589344,0.05,5.21E-02
6.74E-05,36.8340043,0.05,5.21E-02
6.93E-05,36.74750865,0.05,5.21E-02
7.12E-05,36.66597805,0.05,5.21E-02
7.32E-05,36.58901718,0.05,5.21E-02
7.51E-05,36.51626146,0.05,5.21E-02
7.71E-05,36.44737485,0.05,5.21E-02
7.90E-05,36.38204773,0.05,5.21E-02
