time,Absorbance_215
2.567E-06,0.341
7.702E-06,0.323
1.5404E-05,0.333
2.0539E-05,0.342
3.3376E-05,0.357
4.3645E-05,0.369
5.1348E-05,0.387
5.3915E-05,0.393
6.6752E-05,0.389
6.9319E-05,0.402
8.4724E-05,0.398
9.2426E-05,0.411
0.000105263,0.405
0.0001181,0.416
0.000130937,0.405
0.000138639,0.418
0.000148908,0.407
0.000159178,0.42
0.000164313,0.405
0.000182285,0.414
0.000184852,0.409
0.000205391,0.413
0.000215661,0.402
0.000231065,0.407
0.0002362,0.395
0.000251604,0.404
0.000254172,0.387
0.000274711,0.398
0.000274711,0.387
0.000290115,0.396
0.000302952,0.382
0.000313222,0.395
0.000320924,0.382
0.000338896,0.386
0.000349165,0.38
0.000367137,0.38018
0.000374839,0.365766
0.000392811,0.376577
0.000397946,0.365766
0.000408215,0.371171
0.000423619,0.362162
0.000431319,0.372973
0.000439029,0.358559
0.000446729,0.367568
0.000449289,0.353153
0.000474969,0.36036
0.000474969,0.34955
0.000498079,0.36036
0.000498079,0.347748
0.000518609,0.351351
0.000523749,0.338739
0.000557129,0.344144
0.000559689,0.335135
0.000587929,0.335135
0.000587929,0.326126
0.000605909,0.331532
0.000611039,0.318919
0.000636709,0.327928
0.000636709,0.311712
0.000654689,0.322523
0.000657249,0.311712
0.000682929,0.320721
0.000685489,0.304505
0.000706029,0.30991
0.000713739,0.302703
0.000736839,0.306306
0.000736839,0.293694
0.000757379,0.297297
0.000772789,0.29009
0.000801029,0.291892
0.000806159,0.282883
0.000821569,0.291892
0.000824129,0.277477
0.000852379,0.282883
0.000860079,0.272072
0.000880619,0.277477
0.000893449,0.266667
0.000906289,0.273874
0.000926829,0.257658
0.000947369,0.266667
0.000952499,0.257658
0.000970479,0.264865
0.000983309,0.252252
0.000998719,0.257658
0.001016689,0.248649
0.001026959,0.259459
0.001032089,0.241441
0.001065469,0.245045
0.001083439,0.232432
0.001096279,0.243243
0.001101409,0.234234
0.001116819,0.23964
0.001132219,0.227027
0.001155329,0.236036
0.001180999,0.214414
0.001193839,0.230631
0.001204109,0.212613
0.001234919,0.221622
0.001250319,0.201802
0.001278559,0.209009
0.001283699,0.196396
0.001301669,0.203604
0.001311939,0.190991
0.001332479,0.2
0.001342749,0.189189
0.001358149,0.192793
0.001365849,0.183784
0.001396659,0.187387
0.001399229,0.178378
0.001427469,0.181982
0.001437739,0.171171
0.001453149,0.18018
0.001463419,0.165766
0.001476249,0.172973
0.001486519,0.162162
0.001514759,0.171171
0.001525029,0.162162
0.001542999,0.171171
0.001553269,0.153153
0.001571249,0.162162
0.001573809,0.154955
0.001589219,0.14955
0.001591779,0.156757
0.001594349,0.16036
