Time,H_ppm
3.735210620688802e-13,0.7002797610967291
3.735584141750871e-09,0.7002716791130504
4.10876903486389e-08,0.7001908655780331
7.843979655552692e-08,0.7001100604447267
1.5581616847605673e-07,0.6999426991292943
2.9576157309007527e-07,0.6996401064822785
5.430688427163404e-07,0.6991056974294446
9.816938885328296e-07,0.6981588841586412
1.8320643052218246e-06,0.6963269779956135
3.3198268026547548e-06,0.6931336728251891
4.807589300087685e-06,0.6899552093207382
6.2953517975206155e-06,0.6867915232929208
7.783114294953545e-06,0.683642548685659
9.380379158504982e-06,0.6802781142835083
1.0977644022056421e-05,0.6769304864134496
1.257490888560786e-05,0.6735995777912034
1.5650945995286785e-05,0.6672316604144005
1.872698310496571e-05,0.6609248565757256
2.1803020214644636e-05,0.6546785906242405
2.487905732432356e-05,0.6484922948396789
2.7955094434002487e-05,0.6423654066921816
3.27948143508843e-05,0.632844516704811
3.763453426776611e-05,0.6234671595845726
4.247425418464792e-05,0.6142312145008197
4.731397410152973e-05,0.6051345922415624
5.5674018629917205e-05,0.5897434308087339
6.403406315830468e-05,0.5747514470878479
7.239410768669216e-05,0.5601484848160245
8.075415221507964e-05,0.5459246344415153
8.911419674346713e-05,0.5320702284418167
0.00010230460408250945,0.5109393775262441
0.00011549501142155178,0.49066895267416616
0.0001286854187605941,0.4712244747575784
0.00014187582609963642,0.4525728011591964
0.00015506623343867874,0.4346820756423918
0.00016825664077772107,0.4175216831034899
0.0001814470481167634,0.40106220559249706
0.00019463745545580572,0.3852753785818557
0.00021596332783285383,0.3611057403439344
0.00023728920020990195,0.3385148338358338
0.00025861507258695003,0.3174006529152384
0.0002799409449639981,0.29766763705781923
0.0003012668173410462,0.27922625182348154
0.0003225926897180943,0.2619926483096225
0.00034391856209514237,0.24588834421952835
0.00036524443447219046,0.23083989167573923
0.00038657030684923854,0.21677854897551413
0.0004207529549324742,0.196139580785438
0.0004459892556797522,0.18228103611239474
0.0004712255564270302,0.1694932783578601
