Pressure,Density,Temperature,k1,O2,H2O,OH,H,NH3,NH2,Ar
0.558829283846632,2.86E+18,1436,697347600000,8.73E-04,4.15E-04,7.00280112044818E-07,7.00280112044818E-07,0,0,0.998711099439776
0.635337717788256,2.99E+18,1561,1026319200000,8.73E-04,4.15E-04,6.69568128557081E-07,6.69568128557081E-07,0,0,0.998711160863743
0.512067233530915,2.79E+18,1346,767805000000,8.73E-04,4.15E-04,7.16332378223496E-07,7.16332378223496E-07,0,0,0.998711067335243
0.705562821428325,3.04E+18,1705,1569935400000,8.73E-04,4.15E-04,6.58544616397761E-07,6.58544616397761E-07,0,0,0.998711182910767
0.623983629699482,2.96E+18,1545,786473200000,8.73E-04,4.15E-04,6.7476383265857E-07,6.7476383265857E-07,0,0,0.998711150472335
0.532786022281865,2.78E+18,1406,371557400000,1.24E-03,1.26E-03,7.19165767709457E-07,7.19165767709457E-07,0,0,0.997497561668465
0.599670590158204,2.90E+18,1516,804539200000,1.24E-03,1.26E-03,6.88942473303479E-07,6.88942473303479E-07,0,0,0.997497622115053
0.637981967952677,2.97E+18,1577,828627200000,1.24E-03,1.26E-03,6.73627484001347E-07,6.73627484001347E-07,0,0,0.997497652745032
0.593907770813471,2.88E+18,1515,656398000000,1.24E-03,1.26E-03,6.95168578380257E-07,6.95168578380257E-07,0,0,0.997497609662843
0.680516978765112,3.03E+18,1651,1097810600000,1.24E-03,1.26E-03,6.61157024793388E-07,6.61157024793388E-07,0,0,0.99749767768595
0.456876720978238,2.64E+18,1272,306519800000,1.65E-03,1.25E-03,7.58725341426404E-07,7.58725341426404E-07,0,0,0.997098482549317
0.485643808204491,2.70E+18,1322,347527100000,1.65E-03,1.25E-03,7.41839762611276E-07,7.41839762611276E-07,0,0,0.997098516320475
0.431797358499482,2.59E+18,1224,291464800000,1.65E-03,1.25E-03,7.72499034376207E-07,7.72499034376207E-07,0,0,0.997098455001931
0.49724711475924,2.77E+18,1316,396247600000,1.65E-03,1.25E-03,7.21240533717995E-07,7.21240533717995E-07,0,0,0.997098557518933
0.419967316281865,2.54E+18,1212,305917600000,2.45E-03,2.50E-03,7.86472670074715E-07,7.86472670074715E-07,0,0,0.99504842705466
0.473142960897755,2.67E+18,1301,328199000000,2.55E-03,2.50E-03,7.49344323716748E-07,7.49344323716748E-07,0,0,0.994948501311353
0.479607243699482,2.72E+18,1295,360115600000,2.55E-03,2.50E-03,7.35835172921266E-07,7.35835172921266E-07,0,0,0.994948528329654
0.523695611817617,2.77E+18,1388,438401600000,2.55E-03,2.50E-03,7.22282412423258E-07,7.22282412423258E-07,0,0,0.994948555435175
0.511457608918135,2.76E+18,1359,425153200000,2.55E-03,2.50E-03,7.24112961622013E-07,7.24112961622013E-07,0,0,0.994948551774077
0.518361600844905,2.73E+18,1394,440810400000,2.55E-03,2.50E-03,7.32869182850861E-07,7.32869182850861E-07,0,0,0.994948534261634
0.583401761309845,2.86E+18,1496,653387000000,2.55E-03,2.50E-03,6.98812019566737E-07,6.98812019566737E-07,0,0,0.994948602375961
