Pressure,Density,Temperature,k1,O2,H2O,OH,H,NH3,NH2,Ar
0.548085774186528,2.81E+18,1434,778644600000,1.89E-03,0,0,7.1301247771836E-07,1.01E-04,7.1301247771836E-07,0.998011073975044
0.425783413056995,2.60E+18,1200,257741600000,2.45E-03,2.50E-03,7.68049155145929E-07,7.68049155145929E-07,0,0,0.99504846390169
0.460796631765112,2.64E+18,1280,377579400000,2.45E-03,2.50E-03,7.57002271006813E-07,7.57002271006813E-07,0,0,0.995048485995458
0.483589970075648,2.70E+18,1313,357706800000,2.55E-03,2.50E-03,7.39918608953015E-07,7.39918608953015E-07,0,0,0.994948520162782
0.448086353740933,2.64E+18,1248,304713200000,2.55E-03,2.50E-03,7.59013282732448E-07,7.59013282732448E-07,0,0,0.994948481973434
0.422425981126079,2.56E+18,1211,205350200000,2.55E-03,2.50E-03,7.8125E-07,7.8125E-07,0,0,0.9949484375
0.467800229322625,2.65E+18,1297,302304400000,2.55E-03,2.50E-03,7.55572346052135E-07,7.55572346052135E-07,0,0,0.994948488855308
0.422645358780656,2.56E+18,1214,256537200000,2.55E-03,2.50E-03,7.82778864970646E-07,7.82778864970646E-07,0,0,0.99494843444227
0.447993969859067,2.60E+18,1266,290862600000,2.55E-03,2.50E-03,7.70119368502118E-07,7.70119368502118E-07,0,0,0.994948459761263
0.40936238244456,1.94E+18,1551,593769200000,1.24E-03,1.26E-03,1.03252452245741E-06,1.03252452245741E-06,0,0,0.997496934950955
0.409235524931261,1.97E+18,1523,751545600000,1.24E-03,1.26E-03,1.01419878296146E-06,1.01419878296146E-06,0,0,0.997496971602434
0.389272567143005,1.93E+18,1481,492599600000,1.24E-03,1.26E-03,1.03680663556247E-06,1.03680663556247E-06,0,0,0.997496926386729
0.357572496056649,1.89E+18,1387,343254000000,1.24E-03,1.26E-03,1.05708245243129E-06,1.05708245243129E-06,0,0,0.997496885835095
0.310888113606218,1.82E+18,1255,290862600000,2.55E-03,2.50E-03,1.1001100110011E-06,1.1001100110011E-06,0,0,0.994947799779978
0.350127826779965,1.89E+18,1361,401065200000,2.55E-03,2.50E-03,1.05932203389831E-06,1.05932203389831E-06,0,0,0.994947881355932
0.284485535969948,1.75E+18,1191,190295200000,2.55E-03,2.50E-03,1.14090131203651E-06,1.14090131203651E-06,0,0,0.994947718197376
0.272570059100518,1.70E+18,1176,158378600000,5.00E-03,0,0,1.17577895355673E-06,3.00E-04,1.17577895355673E-06,0.994702648442093
0.260578549478756,1.71E+18,1119,107793800000,5.00E-03,0,0,1.17027501462844E-06,3.00E-04,1.17027501462844E-06,0.994702659449971
