Pressure,Density,Temperature,k1,H2,O,He
0.020421053,2.50E+18,1180,4.96E+11,4.04E-03,8.01E-07,0.995961199
0.020276316,2.43E+18,1146,4.31E+11,4.04E-03,8.22E-07,0.995961178
0.02,2.27E+18,1057,3.25E+11,4.04E-03,8.82E-07,0.995961118
0.020723684,2.30E+18,1025,2.44E+11,4.04E-03,8.71E-07,0.995961129
0.020210526,2.20E+18,1006,2.06E+11,4.04E-03,9.11E-07,0.995961089
0.020407895,2.13E+18,954,1.34E+11,4.04E-03,9.40E-07,0.99596106
0.020763158,2.08E+18,907,1.22E+11,4.04E-03,9.64E-07,0.995961036
0.020289474,1.99E+18,907,9.82E+10,5.57E-03,1.00E-06,0.994425997
0.020802632,2.16E+18,941,1.33E+11,5.57E-03,9.26E-07,0.994426074
0.020078947,1.97E+18,880,8.01E+10,5.57E-03,1.01E-06,0.994425985
0.020105263,2.12E+18,957,1.46E+11,5.57E-03,9.45E-07,0.994426055
0.020078947,2.19E+18,1000,1.87E+11,5.57E-03,9.14E-07,0.994426086
0.019842105,2.22E+18,1036,2.45E+11,5.57E-03,9.00E-07,0.9944261
0.020736842,2.37E+18,1067,2.93E+11,5.57E-03,8.44E-07,0.994426156
0.020368421,2.39E+18,1105,3.88E+11,5.57E-03,8.38E-07,0.994426162
0.020671053,2.52E+18,1173,3.50E+11,5.57E-03,7.94E-07,0.994426206
0.020592105,2.44E+18,1120,3.55E+11,5.57E-03,8.21E-07,0.994426179
0.040236842,5.29E+18,1417,1.74E+12,1.80E-04,3.78E-07,0.999819622
0.039723684,5.14E+18,1362,1.54E+12,1.80E-04,3.89E-07,0.999819611
0.040026316,5.00E+18,1289,1.46E+12,1.80E-04,4.00E-07,0.9998196
0.040394737,5.17E+18,1332,1.62E+12,1.80E-04,3.87E-07,0.999819613
0.040210526,4.85E+18,1222,8.37E+11,3.78E-04,4.12E-07,0.999622088
0.039842105,4.71E+18,1171,7.05E+11,3.78E-04,4.25E-07,0.999622075
0.040618421,5.19E+18,1328,1.24E+12,3.78E-04,3.85E-07,0.999622115
0.040473684,5.03E+18,1275,9.45E+11,3.78E-04,3.98E-07,0.999622102
0.039710526,4.98E+18,1283,1.11E+12,3.78E-04,4.02E-07,0.999622098
0.039947368,5.24E+18,1409,1.42E+12,6.25E-04,3.82E-07,0.999374618
0.039947368,5.18E+18,1378,1.34E+12,6.25E-04,3.86E-07,0.999374614
0.039947368,4.83E+18,1226,8.67E+11,6.25E-04,4.14E-07,0.999374586
0.039894737,4.88E+18,1252,9.51E+11,6.25E-04,4.10E-07,0.99937459
0.039868421,4.83E+18,1243,7.05E+11,6.25E-04,4.14E-07,0.999374586
0.040394737,4.23E+18,988,2.29E+11,1.24E-03,4.73E-07,0.998761527
0.040394737,4.37E+18,1032,3.14E+11,1.24E-03,4.58E-07,0.998761542
0.039907895,4.44E+18,1068,3.37E+11,1.24E-03,4.50E-07,0.99876155
0.039842105,4.71E+18,1171,5.51E+11,1.24E-03,4.24E-07,0.998761576
0.03975,4.72E+18,1189,5.75E+11,1.24E-03,4.24E-07,0.998761576
0.040447368,4.86E+18,1214,6.56E+11,1.24E-03,4.11E-07,0.998761589
0.039921053,5.00E+18,1315,1.05E+12,1.24E-03,4.00E-07,0.9987616
0.040328947,4.90E+18,1247,6.68E+11,1.24E-03,4.08E-07,0.998761592
