Time,H_ppm
9.77E-15,1.41944641286251
9.77E-11,1.41941606057436
1.07E-09,1.41911258016963
2.05E-09,1.41880915639293
3.03E-09,1.41850579395322
4.00E-09,1.41820249441167
5.92E-09,1.41760668125128
9.37E-09,1.41653844408943
1.57E-08,1.41456025617474
2.80E-08,1.41078142548426
4.02E-08,1.40701250552967
5.24E-08,1.4032534727431
6.46E-08,1.39950430267601
7.68E-08,1.39576497062163
9.37E-08,1.39061261737705
1.11E-07,1.3854789518421
1.27E-07,1.38036390702502
1.44E-07,1.3752674159464
2.17E-07,1.35368154463414
2.59E-07,1.34110257566322
3.02E-07,1.32863851632192
3.44E-07,1.31628835837234
3.87E-07,1.30405110029889
4.30E-07,1.29192574769231
5.22E-07,1.26612315426941
6.13E-07,1.24082783745302
7.05E-07,1.2160301472494
7.97E-07,1.19172061570822
8.89E-07,1.16788995229147
9.81E-07,1.14452903044593
1.07E-06,1.121628881231
1.17E-06,1.09918069277365
1.33E-06,1.05994469351147
1.50E-06,1.02209169581692
1.66E-06,0.985574287084488
1.83E-06,0.950346585881402
1.99E-06,0.91636419653106
2.16E-06,0.883584167564866
2.32E-06,0.851964951810534
2.49E-06,0.821466366635867
2.65E-06,0.792049554307729
2.94E-06,0.743579525689878
3.13E-06,0.712921932836484
3.32E-06,0.683518798892366
3.51E-06,0.655319690708196
3.70E-06,0.62827613004375
3.89E-06,0.602341534034424
4.08E-06,0.577471139049773
4.27E-06,0.553621926266389
4.58E-06,0.517213336477269
4.89E-06,0.483188357839391
5.20E-06,0.451392826647447
5.50E-06,0.421682307298658
5.81E-06,0.393921517862811
6.12E-06,0.367983771224922
6.43E-06,0.343750445424013
6.73E-06,0.321110491260007
7.04E-06,0.299959971325268
7.35E-06,0.280201622390626
7.66E-06,0.261744439497274
7.96E-06,0.244503283971912
8.27E-06,0.228398515913154
8.58E-06,0.213355649027967
8.89E-06,0.199305025453779
9.19E-06,0.186181509490984
9.50E-06,0.17392419986293
9.81E-06,0.162476159784078
1.01E-05,0.151784163661271
1.04E-05,0.141798459276764
1.07E-05,0.132472544580503
1.10E-05,0.123762958398573
1.13E-05,0.115629084266758
1.17E-05,0.108032966583006
1.20E-05,0.100939138323299
1.23E-05,0.094314459638255
1.26E-05,0.088127966693237
1.29E-05,0.082350730135432
1.32E-05,0.076955722594256
1.35E-05,0.071917694656474
1.38E-05,0.067213058795037
1.41E-05,0.062819780761594
1.44E-05,0.058717277978126
1.47E-05,0.054886324488321
1.50E-05,0.051308962055664
1.55E-05,0.046354869240681
1.60E-05,0.041887179666274
1.64E-05,0.037858154825614
1.69E-05,0.034224730433355
1.74E-05,0.0309480672549
1.78E-05,0.027993137207212
1.83E-05,0.025328346008741
1.87E-05,0.022925195819153
1.92E-05,0.020757984114566
1.97E-05,0.018803531621092
2.01E-05,0.017040934894199
2.06E-05,0.015451342396201
2.11E-05,0.014017753139966
2.15E-05,0.012724835629489
2.20E-05,0.011558764399087
2.25E-05,0.010507072181081
2.29E-05,0.009558516448967
2.34E-05,0.008702959179505
2.38E-05,0.007931258506212
2.43E-05,0.007235170961003
2.48E-05,0.006607263230134
2.52E-05,0.006040832551472
2.57E-05,0.005529834951661
2.62E-05,0.005068820544387
2.66E-05,0.004652875170841
2.73E-05,0.004099592846395
2.80E-05,0.003625923566165
2.87E-05,0.003220325621113
2.94E-05,0.002872928169768
3.01E-05,0.002575296121458
3.08E-05,0.002320220722129
3.15E-05,0.002101536930761
3.22E-05,0.001913970714136
3.29E-05,0.0017530119062
3.36E-05,0.001614805113495
3.43E-05,0.001496054465446
3.51E-05,0.001393941550528
3.58E-05,0.001306056014082
3.65E-05,0.001230336847415
3.72E-05,0.001165022038844
3.79E-05,0.001108605128331
3.86E-05,0.001059797974065
3.96E-05,0.000997887785999
4.07E-05,0.00094782361603
4.18E-05,0.000907102628652
4.28E-05,0.000873750022682
4.39E-05,0.000846213784483
4.49E-05,0.000823273594554
4.60E-05,0.000803965919157
4.71E-05,0.000787528554179
4.81E-05,0.000773360147841
4.92E-05,0.000760987678369
5.03E-05,0.000750038819298
5.19E-05,0.000734975542712
5.36E-05,0.000721889118965
5.53E-05,0.000710181296405
5.70E-05,0.000699440034403
5.87E-05,0.000689389846593
6.03E-05,0.000679846084474
6.30E-05,0.000665470845819
6.57E-05,0.000651731693486
6.83E-05,0.00063842393995
7.10E-05,0.000625437355847
7.36E-05,0.000612730651141
7.63E-05,0.000600288083418
7.89E-05,0.000588091622926
8.16E-05,0.000576122826054
8.43E-05,0.000564372659836
8.69E-05,0.000552840157449
8.96E-05,0.00054152426614
9.22E-05,0.000530420658174
9.49E-05,0.000519524664294
9.76E-05,0.000508833739576
0.000100218168266,0.000498346409063
0.000102877043788,0.000488060372277
0.00010553591931,0.000477972405362
0.000108194794831,0.000468079398142
0.000110853670353,0.000458378761871
0.000114885875219,0.000444028725976
0.000118918080084,0.000430105237652
0.000122950284949,0.000416598385942
0.000126982489815,0.000403498044419
0.00013101469468,0.0003907940334
0.000135046899546,0.00037847634686
0.000139079104411,0.000366535173058
0.000143111309277,0.000354960779293
0.000147143514142,0.000343743479989
0.000151175719008,0.000332873713184
0.000155207923873,0.000322342099031
0.000159240128739,0.000312139427005
0.000163272333604,0.000302256630836
0.00016730453847,0.00029268479946
0.000173387525199,0.000278813882198
0.000179470511929,0.000265601674457
0.000185553498658,0.000253019924894
0.000191636485388,0.00024104130528
0.000197719472117,0.000229639427025
0.000203802458847,0.000218788843613
0.000209885445576,0.000208465032658
0.000215968432306,0.000198644378781
0.000222051419035,0.00018930416294
0.000228134405765,0.000180422547466
0.000238067073552,0.000166851627851
0.000247999741339,0.000154361244117
0.000257932409126,0.000142870528063
0.000267865076914,0.000132304042712
0.000277797744701,0.000122591510596
0.000287730412488,0.000113667545646
0.00030413619808,0.000100494639583
0.000320541983672,8.91E-05
0.000336947769263,7.91E-05
0.000353353554855,7.06E-05
0.000369759340447,6.31E-05
0.000386165126039,5.67E-05
0.000402570911631,5.12E-05
0.000418976697222,4.64E-05
0.000435382482814,4.23E-05
0.000451788268406,3.87E-05
0.000468194053998,3.57E-05
0.00048459983959,3.31E-05
0.000501005625181,3.08E-05
0.000517411410773,2.89E-05
0.000533817196365,2.73E-05
0.000550222981957,2.59E-05
0.000566628767548,2.48E-05
0.00058303455314,2.38E-05
0.000599440338732,2.30E-05
0.000615846124324,2.23E-05
0.000632251909916,2.17E-05
0.000648657695507,2.13E-05
0.000665063481099,2.09E-05
0.000681469266691,2.06E-05
0.000697875052283,2.04E-05
0.000714280837875,2.02E-05
0.000730686623466,2.00E-05
0.000755318872412,1.99E-05
0.000779951121358,1.99E-05
0.000804583370304,1.99E-05
0.00082921561925,1.99E-05
0.000853847868195,2.00E-05
0.000878480117141,2.01E-05
0.000903112366087,2.02E-05
0.000927744615033,2.03E-05
0.000952376863979,2.05E-05
0.000977009112924,2.06E-05
0.00100164136187,2.08E-05
0.001026273610816,2.09E-05
0.001050905859762,2.11E-05
0.001075538108708,2.12E-05
0.001100170357653,2.14E-05
0.001124802606599,2.15E-05
0.001149434855545,2.16E-05
0.001174067104491,2.18E-05
0.001198699353436,2.19E-05
0.001223331602382,2.20E-05
0.001247963851328,2.21E-05
0.001272596100274,2.22E-05
0.00129722834922,2.23E-05
0.001334209931304,2.25E-05
0.001371191513388,2.26E-05
0.001408173095471,2.27E-05
0.001445154677555,2.28E-05
0.001482136259639,2.29E-05
0.001519117841723,2.30E-05
