Pressure,Density,Temperature,k1,H2,O,He
0.01421052631579,2.23E+18,2024,5.18E+12,1.80E-04,8.97666068222621E-07,0.999819102333932
0.013868421052632,2.18E+18,2043,5.38E+12,1.80E-04,9.16170407695832E-07,0.999819083829592
0.013973684210526,2.23E+18,2117,6.03E+12,1.80E-04,8.95656068069861E-07,0.999819104343932
0.01371052631579,2.33E+18,2495,1.30E+13,1.80E-04,8.58000858000858E-07,0.999819141999142
0.013921052631579,2.32E+18,2347,9.06E+12,1.80E-04,8.63930885529158E-07,0.999819136069114
0.013592105263158,2.17E+18,2106,7.33E+12,3.78E-04,9.22934933087218E-07,0.999621577065067
0.014026315789474,2.25E+18,2146,7.46E+12,3.78E-04,8.87311446317658E-07,0.999621612688554
0.014394736842105,2.25E+18,1961,6.37E+12,3.78E-04,8.90075656430797E-07,0.999621609924344
0.014078947368421,2.17E+18,1887,4.70E+12,3.78E-04,9.22934933087218E-07,0.999621577065067
0.013473684210526,2.05E+18,1841,4.17E+12,3.78E-04,9.74184120798831E-07,0.999621525815879
0.014078947368421,2.14E+18,1836,4.46E+12,6.25E-04,9.32835820895522E-07,0.999374067164179
0.013684210526316,2.06E+18,1723,2.63E+12,6.25E-04,9.71345313258863E-07,0.999374028654687
0.013447368421053,2.00E+18,1699,2.72E+12,6.25E-04,9.99000999000999E-07,0.999374000999001
0.013631578947368,1.94E+18,1542,1.92E+12,6.25E-04,1.02986611740474E-06,0.999373970133883
0.013618421052632,1.99E+18,1651,2.78E+12,6.25E-04,1.00401606425703E-06,0.999373995983936
0.013868421052632,1.57E+18,1057,3.16E+11,4.04E-03,1.27307447485678E-06,0.995960726925525
0.013894736842105,1.50E+18,991,2.03E+11,4.04E-03,1.33422281521014E-06,0.995960665777185
0.013526315789474,1.60E+18,1125,3.82E+11,4.04E-03,1.25E-06,0.99596075
0.013565789473684,1.67E+18,1195,5.24E+11,4.04E-03,1.1968880909635E-06,0.995960803111909
0.013921052631579,1.73E+18,1210,5.67E+11,4.04E-03,1.15673799884326E-06,0.995960843262001
0.013776315789474,1.78E+18,1289,7.23E+11,4.04E-03,1.12422709387296E-06,0.995960875772906
0.013486842105263,1.75E+18,1304,8.91E+11,4.04E-03,1.14090131203651E-06,0.995960859098688
0.013881578947368,1.38E+18,879,1.01E+11,4.04E-03,1.45032632342277E-06,0.995960549673677
0.013986842105263,1.72E+18,1194,5.22E+11,5.57E-03,1.16618075801749E-06,0.994425833819242
0.013421052631579,1.60E+18,1113,4.10E+11,5.57E-03,1.2531328320802E-06,0.994425746867168
0.013907894736842,1.49E+18,962,1.47E+11,5.57E-03,1.34680134680135E-06,0.994425653198653
0.013605263157895,1.49E+18,1013,1.92E+11,5.57E-03,1.33868808567604E-06,0.994425661311914
0.013855263157895,1.55E+18,1040,2.75E+11,5.57E-03,1.28783000643915E-06,0.994425712169993
0.013947368421053,1.77E+18,1244,5.03E+11,5.57E-03,1.13314447592068E-06,0.994425866855524
0.014197368421053,1.74E+18,1196,6.00E+11,5.57E-03,1.14810562571757E-06,0.994425851894374
0.020855263157895,3.26E+18,1967,6.94E+12,1.80E-04,6.13120784794605E-07,0.999819386879215
0.020842105263158,3.51E+18,2360,1.44E+13,1.80E-04,5.70613409415121E-07,0.999819429386591
0.020921052631579,3.52E+18,2400,1.21E+13,1.80E-04,5.67536889897843E-07,0.99981943246311
0.020328947368421,3.19E+18,2032,6.78E+12,1.80E-04,6.26370184779205E-07,0.999819373629815
0.020026315789474,3.10E+18,1931,5.44E+12,1.80E-04,6.45786244752987E-07,0.999819354213755
0.020157894736842,3.34E+18,2289,1.14E+13,1.80E-04,5.99520383693046E-07,0.999819400479616
0.019973684210526,3.26E+18,2211,1.03E+13,1.80E-04,6.13120784794605E-07,0.999819386879215
0.020144736842105,3.16E+18,2008,8.36E+12,1.80E-04,6.32311097059753E-07,0.999819367688903
0.020486842105263,3.21E+18,1992,7.55E+12,1.80E-04,6.23830318153462E-07,0.999819376169682
0.020657894736842,3.13E+18,1825,4.59E+12,1.80E-04,6.39386189258312E-07,0.999819360613811
0.02021052631579,2.61E+18,1307,1.14E+12,3.78E-04,7.67165324127349E-07,0.999621732834676
0.020315789473684,2.70E+18,1365,9.45E+11,3.78E-04,7.40740740740741E-07,0.999621759259259
0.020578947368421,2.81E+18,1435,1.41E+12,3.78E-04,7.11997152011392E-07,0.999621788002848
