Time,O_ppm
2.0798649955334534e-13,1.156735685294621
2.080072982033007e-09,1.1567349126110038
2.2878722937367545e-08,1.1567271858092503
1.0268067599324094e-07,1.1566975394756391
2.8426676755315075e-07,1.1566300832609264
6.314111505342859e-07,1.156501135793952
1.2553362058233055e-06,1.1562694136810863
2.3556131270996448e-06,1.1558608903542973
4.319923957076147e-06,1.1551319175006618
8.37514454136236e-06,1.1536284436713005
1.243036512564857e-05,1.1521269269939645
1.6485585709934782e-05,1.1506273651009145
2.0540806294220995e-05,1.1491297555071396
2.8939210076047102e-05,1.146034386922387
3.733761385787321e-05,1.1429473594361719
4.5736017639699316e-05,1.1398686510177627
5.413442142152542e-05,1.136798238635471
6.253282520335152e-05,1.1337360994617944
7.996908957042618e-05,1.1274049906386208
0.00010593536038083683,1.1180421268256484
0.00013190163119124749,1.1087570432216967
0.00015786790200165814,1.0995490907775938
0.0001838341728120688,1.0904176285532936
0.00020980044362247944,1.0813620223494242
0.0002357667144328901,1.0723816428642237
0.0002617329852433007,1.0634758652721776
0.00030684063764916503,1.0481806047976623
0.00035194829005502935,1.0331053924880766
0.00039705594246089367,1.0182470617950818
0.000442163594866758,1.0036024922991296
0.000585539967292518,0.9584387343332265
0.0006624512440184645,0.9350553208242298
0.0007393625207444109,0.9122425914261096
0.0008162737974703574,0.8899866149447221
0.0008931850741963038,0.8682738012382684
0.0009700963509222503,0.8470908933090877
0.0010470076276481968,0.8264249582405175
0.0011239189043741433,0.806263378631233
0.0012472293362115422,0.7749604831593327
0.0013705397680489411,0.7448733624620522
0.00149385019988634,0.7159548002036853
0.001617160631723739,0.6881594126651148
0.0017404710635611379,0.6614435723684658
0.0018637814953985368,0.6357653443859039
0.0019870919272359355,0.6110844256686009
0.0021104023590733344,0.5873620813914522
0.0022337127909107333,0.5645610811802301
0.0025142453750940895,0.5159332717156048
0.0026802672158303268,0.489152644145001
0.002846289056566564,0.46376288973496316
0.0030123108973028013,0.4396917759931435
0.0031783327380390386,0.4168708213037336
0.003344354578775276,0.39523509466627776
0.003510376419511513,0.3747230352953105
0.0036763982602477504,0.35527628211124307
0.0038424201009839877,0.336839507416392
0.004008441941720225,0.3193602569685133
0.004174463782456462,0.30278879979901074
0.0043404856231926995,0.2870779875721058
0.004506507463928937,0.27218312124201016
0.004672529304665174,0.25806182374748615
0.004838551145401411,0.24467391895400079
