A_1,n_1,,A_1,Ea_1,,n_1,Ea_1,,A_1,A_0,,n_1,A_0,,Ea_1,A_0
7.26267312252964,2.8840351233911,,7.61279437144181,3524.84615384615,,-0.941707278141239,18312.9182282794,,23.1021597257113,20.8947660311958,,-0.490982145833904,20.7965971840377,,10370.9437013643,20.8922282834683
8.68202766798419,2.69275088679437,,8.73601157487091,4347.80769230769,,-0.676524487137274,16709.0545144804,,24.9015474995747,20.8939168110919,,-0.795572301162163,20.8426623507488,,11381.7815377304,20.8938837544304
10.6567818181818,2.4580362382183,,11.0553116940289,5641.03296703296,,-0.304838210241507,15068.7393526405,,24.1834320811279,20.8667417677643,,-0.905307484269375,20.8716534759145,,11164.2272785775,20.8684598439697
12.3229806324111,2.24938442535725,,13.6578062127631,6777.50366300366,,0.18823300359326,12918.1039182283,,22.515912422374,20.8701386481802,,-0.992454900565531,20.9236497538086,,10214.5335277112,20.8659542007405
13.9274683794466,2.09296152579305,,16.5414280186681,8070.72893772893,,0.719324510042518,10731.0170357751,,20.455097842374,20.8616464471404,,-0.885071764989811,20.9687981279996,,9478.26124685662,20.8558103479001
15.9022225296443,1.89307380029391,,22.0262523980538,10696.3681318681,,1.22005681932057,8653.28449744463,,22.4946657208152,20.9092027729636,,-0.691811859485524,21.0020025975125,,9236.22815971329,20.8795569570125
17.8152656126482,1.62352075732239,,18.4398123742222,9011.25641025641,,1.58431533362919,7268.12947189097,,26.4941263468522,20.9058058925477,,-0.405064823361689,21.0283750121292,,9544.59781102113,20.8964997623903
19.9134418972332,1.40624251292186,,23.503720990004,11284.1978021978,,1.9865682146794,5810.07155025554,,25.1222129706556,20.8557019064125,,-0.117966331859585,21.0436691107501,,10189.5248549591,20.9108859869711
21.2710853754941,1.24977372808351,,25.1907431020786,12185.5366300366,,2.25224359726855,4898.78534923339,,25.7963338603312,20.8412651646447,,0.223783470963343,21.0512850720163,,10986.7292834089,20.9184841742075
22.9372841897233,1.04112191522246,,27.5826505444856,13165.2527472527,,2.53324117074428,4133.30494037479,,22.0703090456597,20.8319237435009,,0.697802153646345,21.054619417152,,11782.768053383,20.9167571480902
24.7886162055336,0.849917977855478,,29.7637125215146,14027.4029304029,,2.82184798791748,3367.82453151618,,20.2667643084478,20.8404159445407,,1.08659290709912,21.0494453912814,,12209.6109934063,20.9014807288676
26.1462596837945,0.649915539170974,,31.8724255643453,15163.8736263736,,2.76146662992284,4060.40204429302,,19.4570802251307,20.8590987868284,,1.55340675452761,21.0348852143321,,12299.3666960379,20.8845221570996
27.565614229249,0.510871687189622,,33.8413501307428,16104.4010989011,,2.53404487280432,5263.29982964225,,19.1734829478023,20.8905199306759,,1.94271117353324,21.0135198035445,,12175.171083896,20.8709630616003
29.9106347826087,0.258812404986318,,35.4591239772276,16809.7967032967,,2.0484014215567,7158.77512776831,,20.2964404079077,20.9083535528596,,2.35579290063022,20.9776637067299,,11499.5130437796,20.8557303031503
31.5151225296443,0.058855851575961,,37.499880699722,17554.380952381,,1.60833565487524,8944.89608177172,,22.1546030246702,20.9219410745234,,2.61339617538683,20.9426841708486,,10671.2597122943,20.8447423420391
33.0578992094862,-0.114991980845241,,39.1192048805111,18024.6446886447,,1.32741585901822,9819.73083475298,,23.7508769504796,20.9270363951473,,2.77019934415298,20.9000508803925,,10028.4520474031,20.8473110508287
34.7858090909091,-0.323632322387757,,40.1757577088574,18259.7765567766,,1.04688495125478,11241.3373083475,,25.6150440698566,20.9295840554593,,2.87278376206388,20.8514608768346,,8987.0951527632,20.8465045393343
36.2668747035573,-0.497491626127496,,37.8574911459023,16809.7967032967,,0.697870850214021,12662.9437819421,,27.0849924983544,20.9219410745234,,2.83538079930733,20.8054493522391,,8713.37734887037,20.8617748945607
37.7479403162055,-0.714884583713388,,34.9038459072554,15438.1941391941,,0.417054757848625,13683.5843270869,,28.0950191208266,20.9024090121317,,2.69658295992018,20.7705319924463,,8685.29557650041,20.8821220274043
39.2290059288538,-0.871330425914664,,32.5124552429498,14380.1007326007,,0.189425593746868,14594.870528109,,27.9062237020839,20.882027729636,,2.43315363639304,20.7441559204126,,9024.50219293904,20.90075911332
,,,30.4024502548656,13439.5732600733,,-0.106505282521868,15761.3168654174,,27.5138525504707,20.8684402079723,,2.02215360653657,20.7143942994056,,9454.63017048492,20.9117628408213
,,,28.4335256884682,12499.0457875458,,-0.387425078378882,16636.1516183986,,26.9202150900695,20.8574003466205,,1.58707888326869,20.7084973241143,,10099.4512454706,20.9253013187335
,,,26.74521163114,11793.6501831502,,-0.592356140752723,17365.1805792164,,22.9433868200409,20.8191854419411,,0.94964696720516,20.711153827972,,10926.9627942894,20.9303550531652
,,,24.9866157520191,11049.0659340659,,-0.789729811174896,18021.3066439523,,21.209702161324,20.821733102253,,0.60746460391667,20.7171727171622,,11478.2132843593,20.9303332227788
,,,23.4401572835297,10226.1043956044,,,,,19.6726649632301,20.8302253032929,,0.062546557425179,20.7436755796508,,12396.0103805715,20.922667118785
