A_1,pdf_A_1,,n_1,pdf_n_1,,Ea_1,pdf_Ea_1,,A_0,pdf_A_0
0.984955480112195,0.000119119403738,,-1.77646648961532,0.002017334141044,,127.258457058824,-5.51E-07,,20.6419558298051,-8.37247609615233E-05
2.56812670847163,0.000234700607366,,-1.53699596682245,0.001972844346065,,1081.522135,2.75E-07,,20.65563823079,-0.011163301461473
4.34898325838402,0.000589026075629,,-1.28250847980762,0.005963022833175,,1972.16823441177,5.51E-07,,20.6764934090022,0.029917647916747
6.39349528840862,0.001181927322808,,-1.02047496827126,0.014998622132033,,2894.62312308823,3.58025134649908E-06,,20.6914874035372,0.102730281699204
8.43676897074694,0.003090702039855,,-0.795783641100176,0.030097346302767,,3848.88680102941,8.26211849192101E-06,,20.7090940756088,0.238392302709752
10.3468639882805,0.00631568719821,,-0.608421984157513,0.052268557568945,,4675.91532191177,1.59734290843806E-05,,20.7221374951206,0.353262674748306
11.7944924335251,0.010259600921985,,-0.458377483306423,0.082521618154136,,5280.28231794118,2.31339317773788E-05,,20.7358388133201,0.531066158775915
12.9780150904079,0.014443438310432,,-0.308270411771074,0.117821489857169,,5757.41415691176,3.24976660682226E-05,,20.7475916584092,0.771914387807189
14.4886866905896,0.021497429931813,,-0.173092705499725,0.156152228843093,,6234.54599588235,4.29630161579892E-05,,20.7541286070324,0.981505372746341
16.0645404098938,0.029388627093754,,-0.075294726004207,0.197518006030188,,6648.06025632353,5.20513464991023E-05,,20.763927724229,1.23293082991236
16.9829440848534,0.034889011894948,,0.030011735602293,0.240901117358326,,7029.7657275,6.49953321364452E-05,,20.7704657238087,1.4530153182253
17.769857750944,0.039911234223992,,0.157881185952288,0.293364317780301,,7443.27998794118,7.51852782764811E-05,,20.7783153169384,1.7569920170212
18.6222912673443,0.045411787510906,,0.263200161695638,0.337756791332008,,7793.17666985294,8.62014362657091E-05,,20.784209080263,2.05055893720428
19.3435725060628,0.050075303742979,,0.38361118648206,0.392240106507213,,8238.49971955882,9.9145421903052E-05,,20.7907596913191,2.39656546600263
20.4603369649497,0.055096683643426,,0.503947126447371,0.440667248341007,,8683.8227692647,0.000111814003591,,20.7992703360058,2.79495578690894
21.2483764016642,0.058922657363499,,0.624283066412683,0.489094390174802,,9065.52824044118,0.000120902333932,,20.8045104044681,3.06756360859811
22.630484996599,0.062388240129405,,0.744443808462071,0.523390460878639,,9479.04250088235,0.000128613644524,,20.8117136594301,3.42403573251659
23.5529414458046,0.063582129938302,,0.94679740135299,0.547577615979767,,9892.55676132353,0.000134672531418,,20.815,3.7072207823405
24.4770865509459,0.062981646833742,,1.10382479056729,0.537454797316129,,10433.3061788235,0.000139354398564,,20.8208979671501,4.04276171601872
25.4686653164575,0.0608258720518,,1.31277333357902,0.489975844237808,,10974.0555963235,0.000137977378815,,20.8287486112362,4.35723191818841
26.1967011789193,0.058311896630045,,1.42451206152726,0.448571138480107,,11355.7610675,0.000134121723519,,20.8346476293427,4.70326635524041
26.9913826623147,0.055080003557188,,1.54372172917593,0.406155680192745,,11928.3192742647,0.000126410412926,,20.8438035612407,5.03866774765036
27.853385229018,0.050412443667845,,1.66275619890867,0.349609150775425,,12278.2159561765,0.000118974506284,,20.8509984085518,5.31119184457857
28.9139737337733,0.045026629155961,,1.77434475721469,0.296092098334903,,12532.6862702941,0.00011291561939,,20.859496441762,5.58366012499946
29.7101187189798,0.040239612891441,,1.91577953191185,0.235503949105031,,12882.5829522059,0.00010217486535,,20.8686387112272,5.78264597355022
30.7710449549223,0.034494923796865,,2.04981845172971,0.18198272574623,,13137.0532663235,9.52897666068222E-05,,20.8803810467525,5.91855916884365
31.7658884552431,0.028870028048907,,2.15409875411437,0.142598134741759,,13518.7587375,8.48244165170556E-05,,20.8940518872174,5.79205105503151
32.5613579780752,0.024800760949769,,2.31072569094942,0.100175724923932,,13836.8466301471,7.57360861759425E-05,,20.9005499504549,5.61338241514063
33.2253374920384,0.020253331378482,,2.46744022674243,0.064818850671083,,14123.1257335294,6.69231597845601E-05,,20.9089985887157,5.39265603699366
33.8875157730033,0.01761989958155,,2.70651029715604,0.032474769721916,,14441.2136261765,5.89364452423698E-05,,20.9154913971714,5.16151988023387
34.8144753047044,0.014028794954562,,2.96820592699741,0.014257588984427,,14759.3015188235,5.03989228007181E-05,,20.9200304777347,4.94096095160882
35.7408719510935,0.011035814632059,,3.14022525215997,0.006150714155739,,15141.00699,4.21368043087971E-05,,20.9245695582981,4.72040202298377
36.7332387560418,0.008042665823838,,3.49934343739131,-0.000981556101707,,15459.0948826471,3.38746858168761E-05,,20.9304044680659,4.42633275423492
37.5927646273726,0.006006852874232,,3.63403309232545,-0.002015943834951,,15904.4179323529,2.58879712746858E-05,,20.9362320211392,4.05880896186959
39.3106905994102,0.003131475583992,,,,,16476.9761391176,1.76258527827648E-05,,20.9433764225445,3.82764489685614
40.4992792241004,0.001932194232068,,,,,17017.7255566176,1.15669658886894E-05,,20.9491997717923,3.41814709099566
41.9516359059653,0.000851863798163,,,,,17717.5189204412,7.43590664272891E-06,,20.9556831216407,3.09256940387181
43.9973862836761,0.000128891575474,,,,,18321.8859164706,3.85565529622978E-06,,20.9621675224454,2.77748522012174
46.4382821503681,0.000122657603849,,,,,19148.9144373529,8.26E-07,,20.9686582289884,2.52536205661438
,,,,,,19912.3253797059,-8.26E-07,,20.9751373750113,2.15781035599538
,,,,,,20707.5451113235,-8.26E-07,,20.982921808846,1.81118984561665
,,,,,,21630,-8.26E-07,,20.9913588865868,1.47503493035805
