n_1,Ea_1,,,,
-0.941707278141239,18312.9182282794,,,,
-0.676524487137274,16709.0545144804,,,,
-0.304838210241507,15068.7393526405,,,,
0.18823300359326,12918.1039182283,,,,
0.719324510042518,10731.0170357751,,,,
1.22005681932057,8653.28449744463,,,,
1.58431533362919,7268.12947189097,,,,
1.9865682146794,5810.07155025554,,,,
2.25224359726855,4898.78534923339,,,,
2.53324117074428,4133.30494037479,,,,
2.82184798791748,3367.82453151618,,,,
2.76146662992284,4060.40204429302,,,,
2.53404487280432,5263.29982964225,,,,
2.0484014215567,7158.77512776831,,,,
1.60833565487524,8944.89608177172,,,,
1.32741585901822,9819.73083475298,,,,
1.04688495125478,11241.3373083475,,,,
0.697870850214021,12662.9437819421,,,,
0.417054757848625,13683.5843270869,,,,
0.189425593746868,14594.870528109,,,,
-0.106505282521868,15761.3168654174,,,,
-0.387425078378882,16636.1516183986,,,,
-0.592356140752723,17365.1805792164,,,,
-0.789729811174896,18021.3066439523,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,, 
