Temp_klip_ttl,k_klip_ttl,,temp_experimental,experimental_data,,temp_klip,k_klip,,T_original_low_b,k_original_low_b,,T_original_b,k_original_b,,T_original_high_b,k_original_high_b,,T_original_low_r,k_original_low_r,,T_original_r,k_original_r,,T_original_high_r,k_original_high_r
252.414119000657,3209299558797.8,,297.642322953357,2271563981514.9,,192.128212415676,14324607562770.8,,206.846283688287,792444741786.251,,252.202812169376,3130455260270.08,,205.586380119368,38635877859644.1,,208.106187257206,12531725414.4058,,253.462715738295,753642192085.687,,205.586380119368,133624090492862
255.57815581854,3025305457102.44,,289.967773036133,2053859922922.71,,200.216815276592,11302666389326.3,,224.484933653155,652931264905.405,,271.101365703164,2625990455816.5,,219.445319377478,32637810707489.2,,230.964437721882,10247426529.9116,,277.400883547759,606124693112.849,,218.185415808559,119626582005497
261.947320841552,2851860021506.46,,313.851832788535,1907965346549.65,,208.291274933983,8973518411665.88,,243.383487186942,536957527685.437,,320.23760489101,1595062756710.26,,233.304258635589,26581161974155.9,,253.462715738295,8608061954.75455,,301.339051357223,497175430058.175,,230.784451497751,93024287660919.4
265.111357659434,2688358480685.96,,329.554315301854,1999974349334.94,,216.433307674886,6917077072134.5,,274.881076409921,396680799953.347,,453.78738319644,807367044676.26,,247.1631978937,22616083099376.1,,287.480112099112,6868591331.44375,,327.797026304525,413957957501.148,,243.383487186942,82655247513627.2
271.485659105851,2553002746713.02,,356.319212110271,1668726859269.86,,225.935183243684,5099223600837.91,,299.449196003844,321299345883.791,,478.985454574823,748403593004.811,,262.282040720729,18470042886315,,313.098151333802,6166352016.7709,,355.514904820746,352992468187.154,,259.762233582891,63619372392333.8
274.65483234714,2424462017082.32,,348.690755585943,1478716373511.22,,236.472742907713,4142058249725.43,,320.23760489101,282615518393.647,,547.020247296457,634508274505.219,,278.660787116678,15316660176059.8,,342.915869131555,5704553960.27518,,383.232783336968,310812955199.222,,274.881076409921,54084619987649
281.018860946745,2268659043742.99,,375.640025965945,1138310723470.21,,244.696055417027,3081436500059.88,,358.034711958585,230865730630.818,,564.658897261325,629322365777.566,,295.039533512627,12738125632888,,361.814422665342,5603676895.08692,,410.950661853189,280827922209.141,,291.25982280587,43524726204014.9
284.177761341223,2122868422146.18,,396.627884198033,1185263000642.12,,260.522387466203,2236288623367.86,,381.552911911742,211681505795.108,,604.975811466738,593501866113.4,,314.694029187766,10243457830383.2,,398.351626163997,5600859130.47594,,438.66854036941,259352748670.692,,320.23760489101,31165783440004.5
290.531517094017,1957341781487.65,,420.450486093239,1131034931165.18,,276.274162133829,1676678322511.75,,413.470468991027,191440687103.876,,641.009053537826,571034604592.333,,332.836640580202,8819018172957.23,,419.769986835623,5678963278.60584,,466.386418885632,243866818021.752,,342.411907703987,24764811747042.6
296.905818540434,1858791891146.55,,441.346157539535,1226090030266.85,,291.951990545983,1298383376427.41,,432.369022524814,183479509049.365,,656.631857792423,567186097768.126,,363.074326234261,6716509971161.08,,456.307190334278,6078094962.75204,,494.104297401853,233284688515.493,,360.554519096423,21353685042934.3
303.259574293228,1713856117353.4,,413.006403140497,924678496700.961,,315.173559268405,1006565379034.9,,468.90622602347,173414822362.733,,707.028000549189,551049858184.685,,389.532301181563,5531406096865,,477.725551005904,6353706064.91906,,521.822175918074,225442003053.403,,390.792204750483,16243064146106.1
309.623602892834,1603718743751.32,,508.634828935896,661449912891.498,,342.195721071641,771034442076.891,,490.324586695095,169885883175.329,,737.265686203248,543175620177.983,,412.210565422108,4755104801500.11,,514.262754504559,7043823990.67414,,549.540054434295,220261265961.74,,417.250179697785,13361352071064.9
312.797912557528,1534254606494.62,,580.287008193101,530268647044.117,,376.731066881232,599224376249.566,,529.381597331589,166321062579.507,,879.634789491112,559992524591.45,,446.227961782925,3845297179661.1,,537.780954457717,7593352012.64224,,577.257932950517,219105215623.026,,439.928443938329,11436866195155.5
315.977358645628,1478671815055.71,,627.824660733423,506088396519.353,,445.387415019341,433753043143.603,,549.540054434295,164921880448.088,,907.352668007333,560549260648.465,,473.225895402621,3354549910247.27,,569.698511537002,8415625092.08241,,604.975811466738,217784857021.081,,473.945840299146,9169402204765.93
325.561924720579,1414624012210.69,,683.221236762554,492862843707.489,,521.214605446135,369946431369.909,,589.856968639708,166137851606.646,,927.51112511004,561074157311.411,,501.663718815368,2934977879014.77,,595.316550771691,9245404041.39743,,632.693689982959,218855436787.886,,502.383663711893,7795476142250.71
328.736234385273,1353350402399.93,,722.884601349768,464090467542.724,,604.340641296558,351552183641.695,,610.015425742414,166710079968.765,,967.828039315453,588208451746.635,,531.541432021165,2599082426716.93,,625.134268569444,10261111720.5882,,660.41156849918,219244403123.811,,529.381597331589,6831053518838.79
331.915680473373,1304321386719,,780.870089613238,461164905352.772,,673.707540170189,360743051287.997,,647.812532809989,171895507640.08,,995.545917831674,608928817608.751,,557.09947584781,2366209757437.18,,652.852147085665,11435819328.4011,,688.129447015402,222573395875.581,,569.698511537002,5668288367699.08
338.295118343195,1247825470470.02,,775.308153537092,523882173330.205,,770.098700898489,393940390184.831,,669.230893481614,174815855156.67,,1023.2637963479,623027872695.388,,589.017032927095,2138281841126.72,,680.570025601887,12678737585.0789,,715.847325531623,226483648299.943,,595.316550771691,5105375159132
341.46942800789,1193776641714.43,,804.093477400794,571766119627.954,,852.858727784938,439270126538.528,,708.287904118108,181367452033.542,,1050.98167486412,638950609533.973,,612.535232880253,1999304405523.31,,710.38774339964,14267389213.9292,,743.565204047844,231908903352.911,,625.134268569444,4605709662944.58
