Time,H_ppm
4.57E-13,1.06E+00
4.57E-09,1.06E+00
5.03E-08,1.06E+00
1.28E-07,1.06E+00
2.64E-07,1.06E+00
5.01E-07,1.06E+00
9.13E-07,1.06E+00
1.64E-06,1.05E+00
3.01E-06,1.05E+00
6.03E-06,1.05E+00
9.05E-06,1.04E+00
1.21E-05,1.04E+00
1.51E-05,1.03E+00
1.79E-05,1.03E+00
2.07E-05,1.02E+00
2.35E-05,1.02E+00
2.96E-05,1.01E+00
3.57E-05,1.00E+00
4.18E-05,9.92E-01
4.79E-05,9.83E-01
5.40E-05,9.74E-01
6.01E-05,9.65E-01
6.94E-05,9.51E-01
8.34E-05,9.31E-01
9.75E-05,9.12E-01
1.11E-04,8.93E-01
1.26E-04,8.74E-01
1.40E-04,8.56E-01
1.54E-04,8.38E-01
1.68E-04,8.20E-01
1.89E-04,7.94E-01
2.29E-04,7.48E-01
2.69E-04,7.04E-01
2.94E-04,6.78E-01
3.19E-04,6.53E-01
3.44E-04,6.29E-01
3.69E-04,6.06E-01
3.94E-04,5.84E-01
4.19E-04,5.63E-01
4.44E-04,5.42E-01
4.69E-04,5.23E-01
4.94E-04,5.04E-01
5.37E-04,4.73E-01
5.80E-04,4.45E-01
6.11E-04,4.25E-01
6.42E-04,4.06E-01
6.73E-04,3.89E-01
7.04E-04,3.72E-01
7.35E-04,3.56E-01
7.66E-04,3.40E-01
7.97E-04,3.26E-01
8.28E-04,3.12E-01
8.59E-04,2.99E-01
9.07E-04,2.79E-01
0.000954986,2.61E-01
0.001003148,2.45E-01
0.001051309,2.29E-01
0.001099471,2.15E-01
