Time,H_ppm
7.05E-13,4.35E-01
7.05E-09,4.35E-01
7.76E-08,4.35E-01
1.48E-07,4.35E-01
2.85E-07,4.35E-01
5.29E-07,4.34E-01
9.57E-07,4.34E-01
1.72E-06,4.33E-01
3.22E-06,4.32E-01
5.53E-06,4.30E-01
7.84E-06,4.28E-01
1.02E-05,4.26E-01
1.25E-05,4.23E-01
1.51E-05,4.21E-01
1.78E-05,4.19E-01
2.04E-05,4.16E-01
2.49E-05,4.13E-01
2.93E-05,4.09E-01
3.37E-05,4.05E-01
3.81E-05,4.01E-01
4.52E-05,3.95E-01
5.22E-05,3.89E-01
5.92E-05,3.84E-01
7.32E-05,3.72E-01
8.72E-05,3.62E-01
0.00010119,3.51E-01
0.00011518,3.41E-01
0.00012916,3.31E-01
0.00014315,3.21E-01
0.00015713,3.12E-01
0.00017112,3.03E-01
0.00019522,2.88E-01
0.00021932,2.74E-01
0.00024342,2.60E-01
0.00026752,2.47E-01
0.00029162,2.35E-01
0.00031572,2.23E-01
0.00033982,2.12E-01
0.00036393,2.02E-01
0.00038803,1.92E-01
0.00042905,1.76E-01
0.00045614,1.67E-01
0.00048323,1.57E-01
0.00051032,1.49E-01
0.00053741,1.41E-01
0.0005645,1.33E-01
0.00059159,1.26E-01
0.00061867,1.19E-01
0.00064576,1.13E-01
0.00067285,1.07E-01
0.00069994,1.01E-01
0.00075066,9.12E-02
