Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
CH3 + OH <=> CH3O + H,1.00E-09,1.00E-09,1.00E-09
CH3 + OH <=> H2 + HCOH,1.00E-09,1.00E-09,1.00E-09
CH3 + O2 <=> CH3O + O,1.00E-09,1.00E-09,1.00E-09
CH3 + O2 <=> CH2O + OH,1.00E-09,1.00E-09,1.00E-09
CH3 + O2 <=> CH3OO,1.00E-09,1.00E-09,1.00E-09
CH2O + CH3 <=> CH4 + HCO,1.00E-09,1.00E-09,1.00E-09
CH2O + CH3 <=> CH4 + CO + H,1.00E-09,1.00E-09,1.00E-09
CH3 + HCO <=> CH4 + CO,1.00E-09,1.00E-09,1.00E-09
CH3 + HCO <=> CH2CO + H2,1.00E-09,1.00E-09,1.00E-09
2 CH3 <=> C2H5 + H,1.00E-09,1.00E-09,1.00E-09
CH2 + CH3 <=> C2H4 + H,1.00E-09,1.00E-09,1.00E-09
CH2(S) + CH3 <=> C2H4 + H,1.00E-09,1.00E-09,1.00E-09
CH + CH3 <=> C2H3 + H,1.00E-09,1.00E-09,1.00E-09
C + CH3 <=> C2H2 + H,1.00E-09,1.00E-09,1.00E-09
CH2 + M <=> CH + H + M,1.00E-09,1.00E-09,1.00E-09
CH2 + M <=> C + H2 + M,1.00E-09,1.00E-09,1.00E-09
CH2 + H <=> CH + H2,1.00E-09,1.00E-09,1.00E-09
CH2 + O <=> CO + 2 H,1.00E-09,1.00E-09,1.00E-09
CH2 + O <=> CO + H2,1.00E-09,1.00E-09,1.00E-09
CH2 + OH <=> CH2O + H,1.00E-09,1.00E-09,1.00E-09
CH2 + OH <=> CH + H2O,1.00E-09,1.00E-09,1.00E-09
CH2 + O2 <=> CO2 + 2 H,1.00E-09,1.00E-09,1.00E-09
CH2 + O2 <=> CH2O + O,1.00E-09,1.00E-09,1.00E-09
CH2 + CO2 <=> CH2O + CO,1.00E-09,1.00E-09,1.00E-09
2 CH2 <=> C2H2 + 2 H,1.00E-09,1.00E-09,1.00E-09
2 CH2 <=> C2H2 + H2,1.00E-09,1.00E-09,1.00E-09
CH + CH2 <=> C2H2 + H,1.00E-09,1.00E-09,1.00E-09
C + CH2 <=> C2H + H,1.00E-09,1.00E-09,1.00E-09
CH2(S) + N2 <=> CH2 + N2,1.00E-09,1.00E-09,1.00E-09
AR + CH2(S) <=> AR + CH2,1.00E-09,1.00E-09,1.00E-09
CH2(S) + H <=> CH2 + H,1.00E-09,1.00E-09,1.00E-09
CH2(S) + H <=> CH + H2,1.00E-09,1.00E-09,1.00E-09
CH2(S) + O <=> CO + 2 H,1.00E-09,1.00E-09,1.00E-09
CH2(S) + OH <=> CH2O + H,1.00E-09,1.00E-09,1.00E-09
CH2(S) + O2 <=> CH2 + O2,1.00E-09,1.00E-09,1.00E-09
CH2(S) + H2O <=> CH2 + H2O,1.00E-09,1.00E-09,1.00E-09
CH2(S) + CO2 <=> CH2O + CO,1.00E-09,1.00E-09,1.00E-09
CH + H <=> C + H2,1.00E-09,1.00E-09,1.00E-09
CH + O <=> CO + H,1.00E-09,1.00E-09,1.00E-09
CH + OH <=> H + HCO,1.00E-09,1.00E-09,1.00E-09
CH + OH <=> CO + 2 H,1.00E-09,1.00E-09,1.00E-09
CH + OH <=> C + H2O,1.00E-09,1.00E-09,1.00E-09
CH + O2 <=> HCO + O,1.00E-09,1.00E-09,1.00E-09
CH + O2 <=> CO + H + O,1.00E-09,1.00E-09,1.00E-09
CH + H2O <=> CH2O + H,1.00E-09,1.00E-09,1.00E-09
CH + CO2 <=> CO + HCO,1.00E-09,1.00E-09,1.00E-09
CH + CO2 <=> 2 CO + H,1.00E-09,1.00E-09,1.00E-09
CH + CH2O <=> CH2CO + H,1.00E-09,1.00E-09,1.00E-09
C + OH <=> CO + H,1.00E-09,1.00E-09,1.00E-09
C + O2 <=> CO + O,1.00E-09,1.00E-09,1.00E-09
CH3OH (+M) <=> CH2(S) + H2O (+M),1.00E-09,1.00E-09,1.00E-09
CH2OH + H (+M) <=> CH3OH (+M),1.00E-09,1.00E-09,1.00E-09
CH3O + H (+M) <=> CH3OH (+M),1.00E-09,1.00E-09,1.00E-09
CH3OH + H <=> CH2OH + H2,1.00E-09,1.00E-09,1.00E-09
CH3OH + H <=> CH3O + H2,1.00E-09,1.00E-09,1.00E-09
CH3OH + O <=> CH2OH + OH,1.00E-09,1.00E-09,1.00E-09
CH3OH + O <=> CH3O + OH,1.00E-09,1.00E-09,1.00E-09
CH3OH + OH <=> CH2OH + H2O,1.00E-09,1.00E-09,1.00E-09
CH3OH + OH <=> CH3O + H2O,1.00E-09,1.00E-09,1.00E-09
CH3OH + HO2 <=> CH2OH + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3OH + HO2 <=> CH3O + H2O2,1.00E-09,1.00E-09,1.00E-09
CH3OH + O2 <=> CH2OH + HO2,1.00E-09,1.00E-09,1.00E-09
CH3O + HO2 <=> CH3OH + O2,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3OH <=> CH3O + CH4,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3OH <=> CH2OH + CH4,1.00E-09,1.00E-09,1.00E-09
CH2OH (+M) <=> CH2O + H (+M),1.00E-09,1.00E-09,1.00E-09
CH2OH + H <=> CH2O + H2,1.00E-09,1.00E-09,1.00E-09
CH2OH + O <=> CH2O + OH,1.00E-09,1.00E-09,1.00E-09
CH2OH + OH <=> CH2O + H2O,1.00E-09,1.00E-09,1.00E-09
CH2OH + HO2 <=> CH2O + H2O2,1.00E-09,1.00E-09,1.00E-09
