pressure,temperature
193429.425,1397.27626962628
193429.425,1396.68729791775
193429.425,1396.37659633872
193429.425,1396.28621713471
193429.425,1396.3687469278
193429.425,1396.58412592117
193429.425,1396.89735219189
193429.425,1397.27990728636
193429.425,1397.70791146558
193429.425,1398.16283404701
193429.425,1398.63058711675
193429.425,1399.10067795828
193429.425,1399.56556281693
193429.425,1400.02001249323
193429.425,1400.46052294524
193429.425,1400.88486812297
193429.425,1401.29175737505
193429.425,1401.68057495103
193429.425,1402.05115262636
193429.425,1402.40363766645
193429.425,1402.73876303217
193429.425,1403.05665279234
193429.425,1403.35830731707
193429.425,1403.64445632901
193429.425,1403.91554448451
193429.425,1404.17272541079
193429.425,1404.41646649812
193429.425,1404.64758885738
193429.425,1404.86670362252
193429.425,1405.07487539056
193429.425,1405.2722188702
193429.425,1405.45955626755
193429.425,1405.6376071726
193429.425,1405.80689605357
193429.425,1405.96762036979
193429.425,1406.12048092233
193429.425,1406.26601662236
193429.425,1406.40463698598
193429.425,1406.53647191047
193429.425,1406.66210870776
193429.425,1406.78194537552
193429.425,1406.89629856963
193429.425,1407.00524704265
193429.425,1407.10928137654
193429.425,1407.20869381044
193429.425,1407.3037290931
193429.425,1407.3944293892
193429.425,1407.4812054803
193429.425,1407.56427137258
193429.425,1407.64381607223
193429.425,1407.71985905816
193429.425,1407.79274333446
193429.425,1407.86262619162
193429.425,1407.92964642696
193429.425,1407.99383192579
193429.425,1408.0554471213
193429.425,1408.1146154112
193429.425,1408.17143845244
193429.425,1408.2259490297
193429.425,1408.27835210018
193429.425,1408.32874517964
193429.425,1408.37720239344
193429.425,1408.42375911775
193429.425,1408.46857503618
193429.425,1408.51172779195
193429.425,1408.55320975125
193429.425,1408.59321874066
193429.425,1408.63173300615
193429.425,1408.66886911658
193429.425,1408.70463974728
193429.425,1408.73914820607
193429.425,1408.77240723898
193429.425,1408.8045084855
193429.425,1408.83546470817
193429.425,1408.86535726393
193429.425,1408.89419888707
193429.425,1408.92206185992
193429.425,1408.94895885114
193429.425,1408.97495412309
193429.425,1409.00006024767
193429.425,1409.0243343895
193429.425,1409.04778899782
193429.425,1409.07047494723
193429.425,1409.09240454271
193429.425,1409.11362307744
193429.425,1409.13414269426
193429.425,1409.15400372745
193429.425,1409.17321814297
193429.425,1409.19182186404
193429.425,1409.20982666753
193429.425,1409.22726454848
193429.425,1409.24414708468
193429.425,1409.26050276921
193429.425,1409.27634297271
193429.425,1409.29169306303
193429.425,1409.30656419718
193429.425,1409.32097895136
193429.425,1409.33494826377
193429.425,1409.34849221473
193429.425,1409.36162151964
193429.425,1409.37435402544
193429.425,1409.38670022178
193429.425,1409.39867595567
193429.425,1409.41029148879
193429.425,1409.42156087603
193429.425,1409.43249414969
193429.425,1409.44310375778
193429.425,1409.45339950237
193429.425,1409.46339238993
193429.425,1409.47309199199
193429.425,1409.48250802124
193429.425,1409.49164981884
193429.425,1409.50052593587
193429.425,1409.50914548367
193429.425,1409.51751597012
193429.425,1409.52564627763
193429.425,1409.53354297705
193429.425,1409.54121472307
193429.425,1409.5486672448
193429.425,1409.55590897069
193429.425,1409.56294487372
193429.425,1409.56978315781
193429.425,1409.57642811683
193429.425,1409.58288773211
193429.425,1409.58916568768
193429.425,1409.59526974442
193429.425,1409.60120303898
193429.425,1409.60697311411
193429.425,1409.61257799323
193429.425,1409.61803394346
193429.425,1409.62334010487
193429.425,1409.62850103631
193429.425,1409.63352114799
193429.425,1409.63840470691
193429.425,1409.64315584227
193429.425,1409.64777855041
193429.425,1409.65227669974
193429.425,1409.65665403529
193429.425,1409.66091418316
193429.425,1409.66506065468
193429.425,1409.66909685055
193429.425,1409.67302606464
193429.425,1409.67685148773
193429.425,1409.68057621108
193429.425,1409.68420322982
193429.425,1409.68773544622
193429.425,1409.69117567287
193429.425,1409.69452663563
193429.425,1409.6977909766
193429.425,1409.70097125684
193429.425,1409.70406995906
193429.425,1409.70708949022
193429.425,1409.71003218395
193429.425,1409.71290030296
193429.425,1409.71569604134
193429.425,1409.71842152673
193429.425,1409.72107882246
193429.425,1409.72366992959
193429.425,1409.72619678888
193429.425,1409.72866128269
193429.425,1409.73106523681
193429.425,1409.73341042225
193429.425,1409.7356985569
193429.425,1409.7379313072
193429.425,1409.74011028976
193429.425,1409.74223707283
193429.425,1409.74431317784
193429.425,1409.7463400808
193429.425,1409.74831921371
193429.425,1409.75025196589
193429.425,1409.75213968526
193429.425,1409.75398367961
193429.425,1409.75578521782
193429.425,1409.75754553102
193429.425,1409.75926581373
193429.425,1409.76094722497
193429.425,1409.76259088931
193429.425,1409.7641978672
193429.425,1409.76576042529
193429.425,1409.76729771523
193429.425,1409.76880873802
193429.425,1409.77027158274
193429.425,1409.77171141271
193429.425,1409.77312595647
193429.425,1409.77449758216
193429.425,1409.7758480843
193429.425,1409.77717429709
193429.425,1409.77846229671
193429.425,1409.77973090369
193429.425,1409.78097622362
193429.425,1409.78218753742
193429.425,1409.7833810428
193429.425,1409.78455226013
193429.425,1409.78569323184
193429.425,1409.78681784511
193429.425,1409.78792115871
193429.425,1409.78899758692
193429.425,1409.7900589838
193429.425,1409.79110005281
193429.425,1409.7921172379
